sr,nsecode,name,bsecode,close,per_chg,volume
1,NEOGEN,Neogen Chemicals Ltd,542665,2488.4,3.87,355984
2,VENUSPIPES,Venus Pipes & Tubes Ltd,543528,2282.9,7.09,1274312
3,MACPOWER,Macpower CNC Machines Ltd,535057,2104.5,9.52,237776
4,TATVA,Tatva Chintan Pharma Chem Ltd,543321,1770.2,3.54,91966
5,GMMPFAUDLR,GMM Pfaudler Ltd,505255,1467.0,7.6,1207844
6,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,1139.5,6.26,6484052
7,WSTCSTPAPR,West Coast Paper Mills Limited,500444,768.3,7.24,592182
8,SOFTTECH,Softtech Engineers Ltd,535078,525.7,4.99,35070
9,NRBBEARING,Nrb Bearing Limited,530367,525.5,11.29,9738086
10,TALBROAUTO,Talbros Automotive Components Limited,505160,476.7,9.54,1960823
11,TSFINV,Tsf Investments Ltd,535060,455.65,2.18,153537
12,HLEGLAS,HLE Glascoat Ltd,522215,446.9,7.52,1020903
13,BHAGYANGR,Bhagyanagar India,512296,446.7,0.04,329482
14,VALIANTORG,Valiant Organics Ltd,540145,426.65,4.46,161458
15,SHAREINDIA,Share India Securities Ltd,540725,228.15,4.45,24957936
16,GPTHEALTH,GPT Healthcare Ltd,544131,166.21,1.59,319398
17,SAMBHV,Sambhv Steel Tubes Ltd,544430,147.57,14.32,28285913
18,NRL,Nupur Recyclers Ltd,535413,143.67,4.77,210713
19,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,45.85,3.36,640093
20,IL&FSENGG,Il&fs Engineering And Construction Company Limited,532907,40.56,4.0,77426
21,IBULLSLTD,Indiabulls Limited,533520,30.39,2.5,34084914
