sr,nsecode,name,bsecode,close,per_chg,volume
1,KDDL,Kddl Limited,532054,4251.9,7.02,153006
2,RPGLIFE,Rpg Life Sciences Limited,532983,3025.4,10.14,143445
3,PGIL,Pearl Global Industries Limited,532808,1300.8,8.86,767765
4,INNOVACAP,Innova Captab Ltd,544067,1297.6,5.78,454203
5,GALAPREC,Gala Precision Engineering Ltd,544244,1164.2,10.04,143631
6,SUPRIYA,Supriya Lifescience Ltd,543434,1000.9,6.58,1007970
7,MANINDS,Man Industries (india) Limited,513269,986.7,16.1,10691371
8,AARTIPHARM,Aarti Pharmalabs Ltd,543748,940.1,6.38,2945650
9,WHIRLPOOL,Whirlpool Of India Limited,500238,865.25,20.0,10753329
10,OPTIEMUS,Optiemus Infracom Ltd,530135,828.35,16.85,10628491
11,RAYMONDREL,Raymond Realty Ltd,544420,671.45,13.9,12802316
12,SGIL,Synergy Green Industries Ltd,541929,668.5,4.98,84520
13,GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,623.05,4.07,1894770
14,GNA,Gna Axles Limited,540124,596.65,6.23,3594624
15,NRBBEARING,Nrb Bearing Limited,530367,541.05,3.95,1530829
16,SANATHAN,Sanathan Textiles Ltd,544314,506.35,7.44,484976
17,ICIL,Indo Count Industries Limited,521016,476.55,6.16,1924680
18,ELECON,Elecon Engineering Company Limited,505700,466.6,10.95,30987016
19,SUNFLAG,Sunflag Iron And Steel Company Limited,500404,390.55,10.0,912957
20,BAJAJHCARE,Bajaj Healthcare Ltd,539872,352.7,4.94,438116
21,DHARMAJ,Dharmaj Crop Guard Ltd,543687,299.1,6.21,108051
22,SHANTIGOLD,Shanti Gold International Ltd,544459,288.07,11.64,12582362
23,KROSS,Kross Ltd,544253,278.56,8.76,6104799
24,JAYKAY,Jaykay Enterprises Ltd,500306,212.76,12.27,9950063
25,NOCIL,Nocil Limited,500730,206.3,6.4,7384798
26,GREAVESCOT,Greaves Cotton Limited,501455,206.01,3.18,2224825
27,LXCHEM,Laxmi Organic Industries Ltd,543277,188.44,5.86,3615692
28,PENIND,Pennar Industries Limited,513228,183.31,5.27,1703156
29,TEXRAIL,Texmaco Rail & Engineering Limited,533326,124.75,4.66,6899587
30,TEXINFRA,Texmaco Infrastructure & Holdings Limited,505400,123.47,7.35,2791859
31,FILATEX,Filatex India Limited,526227,108.72,7.57,19496415
32,ARIHANTCAP,Arihant Capital Markets Ltd,511605,94.06,3.37,10557223
33,PASUPTAC,Pasupati Acrylon Ltd,500456,79.82,4.52,1040321
34,TIRUPATIFL,Tirupati Forge Ltd,535021,78.34,5.0,1107996
35,DELTACORP,Delta Corp Limited,532848,68.65,11.14,17802335
36,ONEPOINT,One Point One Solutions Ltd,535039,68.41,8.24,21831475
37,DCW,Dcw Limited,500117,50.02,4.16,8719090
38,AHCL,Anlon Healthcare Ltd,544497,29.68,2.84,113090092
39,SUBEXLTD,Subex Ltd,532348,22.08,13.99,70960363
