sr,nsecode,name,bsecode,close,per_chg,volume
1,FOSECOIND,Foseco India Limited,500150,6846.5,10.01,178685
2,NPST,Network People Services Technologies Ltd,535391,1834.6,11.9,3028115
3,ROSSTECH,Rossell Techsys Ltd,544294,1349.9,6.68,3386100
4,YUKEN,Yuken India Ltd,522108,1134.95,5.32,66940
5,ARROWGREEN,Arrow Greentech Limited,516064,907.45,8.22,311513
6,JINDALPOLY,Jindal Poly Films Limited,500227,742.4,0.61,423769
7,EMUDHRA,eMudhra Ltd,543533,642.3,8.34,30254888
8,UNIVPHOTO,Universus Photo Imagings Ltd,542933,595.05,4.99,19469
9,SOFTTECH,Softtech Engineers Ltd,535078,476.9,0.41,9640
10,KANORICHEM,Kanoria Chemicals & Industries Limited,506525,186.97,4.97,214032
11,STLNETWORK,STL Networks Ltd,544395,38.97,4.76,15347153
