sr,nsecode,name,bsecode,close,per_chg,volume
1,ESABINDIA,Esab India Limited,500133,6023.0,3.48,66508
2,KINGFA,Kingfa Science & Technology (india) Limited,524019,5958.0,4.38,53262
3,ORISSAMINE,The Orissa Minerals Development Company Limited,590086,4839.4,7.43,596630
4,TCPLPACK,TCPL Packaging Ltd,523301,4394.9,19.56,481765
5,KENNAMET,Kennametal India Ltd,505890,3572.3,8.19,197972
6,TIIL,Technocraft Industries (india) Limited,532804,2909.0,11.5,192968
7,FIEMIND,Fiem Industries Limited,532768,2645.9,2.07,153130
8,VINDHYATEL,Vindhya Telelinks Limited,517015,2582.7,6.33,174136
9,KRN,KRN Heat Exchanger and Refrigeration Ltd,544263,1331.9,3.43,341240
10,QPOWER,Quality Power Electrical Equipments Ltd,544367,1294.5,4.45,894985
11,DIVGIITTS,Divgi Torqtransfer Systems Ltd,543812,1231.95,14.45,2717226
12,PITTIENG,Pitti Engineering Ltd,513519,1044.1,8.72,696512
13,GANDHITUBE,Gandhi Special Tubes Limited,513108,957.75,2.84,39710
14,YUKEN,Yuken India Ltd,522108,858.0,6.56,37575
15,PRICOLLTD,Pricol Ltd.,540293,783.25,6.25,1368057
16,ALICON,Alicon Castalloy Limited,531147,772.95,6.09,170779
17,WSTCSTPAPR,West Coast Paper Mills Limited,500444,624.55,4.6,2906450
18,MANINDS,Man Industries (india) Limited,513269,598.65,7.07,10838305
19,DOLPHIN,Dolphin Offshore Enterprises (India) Ltd,522261,494.35,12.21,654933
20,RAMRAT,Ram Ratna Wires Ltd,522281,473.95,5.44,777143
21,LOKESHMACH,Lokesh Machines Limited,532740,354.0,0.78,24276
22,HITECHCORP,Hitech Corporation,526217,327.1,1.22,14910
23,VALIANTORG,Valiant Organics Ltd,540145,325.3,4.99,165923
24,SETL,Standard Enginnering Technology Ltd,544333,300.05,0.93,1920932
25,INDSWFTLAB,Ind-swift Laboratories Limited,532305,300.0,5.38,8635452
26,BIRLACABLE,Birla Cable Limited,500060,294.27,5.0,290546
27,EPL,EPL Ltd,500135,243.64,3.33,15355500
28,EMIL,Electronics Mart India Ltd,543626,193.61,4.8,31604982
29,GIPCL,Gujarat Industries Power Company Limited,517300,174.05,5.72,8115461
30,PVSL,Popular Vehicles & Services Ltd,544144,120.55,8.44,643833
31,TNPETRO,Tamilnadu Petroproducts Limited,500777,106.77,2.89,5595339
