sr,nsecode,name,bsecode,close,per_chg,volume
1,SEAMECLTD,Seamec Limited,526807,1700.0,3.93,242323
2,AVADHSUGAR,Avadh Sugar & Energy,540649,811.0,9.02,718476
3,KRYSTAL,Krystal Integrated Services Ltd,544149,675.25,7.28,63813
4,SOLARA,Solara Active Pharma Sciences Ltd,541540,637.15,15.83,2028841
5,INDOBORAX,Indo Borax & Chemicals Ltd,524342,498.0,14.79,1875125
6,KIRIINDUS,Kiri Industries Limited,532967,461.85,7.08,1802679
7,STYLEBAAZA,Baazar Style Retail Ltd,544243,441.0,4.32,1702467
8,KAYA,Kaya Limited,539276,372.55,10.08,84746
9,GENUSPOWER,Genus Power Infrastructures Limited,530343,334.25,8.07,5862051
10,UTTAMSUGAR,Uttam Sugar Mills Limited,532729,332.64,10.52,544872
11,ZUARIIND,Zuari Industries Ltd,500780,285.15,8.79,158870
12,DHAMPURSUG,Dhampur Sugar Mills Limited,500119,189.71,7.68,1843823
13,KRONOX,Kronox Lab Sciences Ltd,544187,186.19,20.0,1453683
14,MAWANASUG,Mawana Sugars Limited,523371,140.9,9.46,593896
15,MMTC,Mmtc Limited,513377,66.25,6.6,15889721
16,UGARSUGAR,The Ugar Sugar Works Limited,530363,56.07,11.23,1255601
17,DWARKESH,Dwarikesh Sugar Industries Limited,532610,54.95,13.82,13584919
18,RENUKA,Shree Renuka Sugars Limited,532670,26.13,7.8,28871142
19,BAJAJHIND,Bajaj Hindusthan Sugar Limited,500032,23.28,14.23,75265640
