sr,nsecode,name,bsecode,close,per_chg,volume
1,FOSECOIND,Foseco India Limited,500150,6047.0,7.68,35642
2,TVSSRICHAK,Tvs Srichakra Limited,509243,5311.8,10.39,307139
3,BALAMINES,Balaji Amines Limited,530999,2437.2,3.99,519491
4,RPEL,Raghav Productivity Enhancers Ltd,539837,1736.7,8.33,163910
5,EPIGRAL,Epigral Ltd,543332,1249.2,0.67,224592
6,CYIENT,Cyient Limited,532175,1047.7,7.01,12441384
7,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,965.3,4.58,768000
8,CYIENTDLM,Cyient DLM Ltd,543933,797.9,3.71,1251264
9,WELENT,Welspun Enterprises Limited,532553,692.85,4.82,1379989
10,UFLEX,Uflex Limited,500148,650.45,7.27,1512339
11,BALUFORGE,Balu Forge Industries Ltd,531112,638.9,4.81,6144183
12,AEROFLEX,Aeroflex Industries Ltd,543972,536.35,8.19,4177634
13,RAMRAT,Ram Ratna Wires Ltd,522281,524.0,7.04,925564
14,ARIES,Aries Agro Limited,532935,493.95,10.57,1433154
15,KRBL,Krbl Limited,530813,447.4,5.77,3189968
16,GUJTHEM,Gujarat Themis Biosyn Ltd,506879,420.75,3.97,1078635
17,OAL,Oriental Aromatics Ltd,500078,401.25,14.86,935419
18,DCI,DC Infotech & Communication Ltd,535351,401.0,8.33,184149
19,QUESS,Quess Corp Limited,539978,370.7,6.83,6941081
20,INDSWFTLAB,Ind-swift Laboratories Limited,532305,367.48,13.29,8519823
21,SETL,Standard Enginnering Technology Ltd,544333,330.4,4.97,2719497
22,TBZ,Tribhovandas Bhimji Zaveri Limited,534369,305.8,9.08,4895355
23,PRINCEPIPE,Prince Pipes & Fittings Ltd,542907,298.4,3.94,1035372
24,20MICRONS,20 Microns Limited,533022,223.63,6.16,1672293
25,KROSS,Kross Ltd,544253,217.72,4.12,1040725
26,DCBBANK,Dcb Bank Limited,532772,213.83,3.12,11998101
27,GIPCL,Gujarat Industries Power Company Limited,517300,201.47,5.64,3796524
28,IOLCP,Iol Chemicals And Pharmaceuticals Limited,524164,186.01,7.91,18086861
29,GPPL,Gujarat Pipavav Port Limited,533248,169.46,3.01,9434825
30,WEL,Wonder Electricals Ltd,535344,155.92,16.34,18476539
31,RGL,Renaissance Global Ltd,532923,152.58,14.83,43389006
32,ARIS,Arisinfra Solutions Ltd,544419,147.96,2.56,3058989
33,THEMISMED,Themis Medicare Limited,530199,126.26,5.89,1801406
34,EMAMIPAP,Emami Paper Mills Ltd,533208,121.7,3.9,124582
35,OMAXE,Omaxe Limited,532880,109.37,9.78,15077969
36,VALIANTLAB,Valiant Laboratories Ltd,,107.87,2.27,509288
37,SBFC,SBFC Finance Ltd,543959,101.14,9.02,19087017
38,ALEMBICLTD,Alembic Limited,506235,98.7,4.27,1630738
39,BODALCHEM,Bodal Chemicals Limited,524370,89.98,3.37,1405020
40,JTLIND,JTL Industries Ltd,534600,81.01,2.78,4315707
41,HMT,Hmt Limited,500191,67.21,5.0,26899
42,PVP,Pvp Ventures Limited,517556,56.48,9.99,6202419
43,HCC,Hindustan Construction Company Limited,500185,23.88,5.62,88298614
