sr,nsecode,name,bsecode,close,per_chg,volume
1,DYNAMATECH,Dynamatic Technologies Limited,505242,13153.0,4.8,38127
2,RPGLIFE,Rpg Life Sciences Limited,532983,3050.6,5.2,111001
3,PGIL,Pearl Global Industries Limited,532808,1329.1,4.36,477150
4,ANTELOPUS,Antelopus Selan Energy Ltd,530075,1261.7,11.56,7877531
5,WHIRLPOOL,Whirlpool Of India Limited,500238,918.9,7.67,27943285
6,ISGEC,ISGEC Heavy Engineering  Ltd,533033,890.55,4.76,218727
7,PROTEAN,Protean eGov Technologies Ltd,544021,690.7,7.59,3560004
8,SANGAMIND,Sangam (india) Limited,514234,619.9,6.93,434786
9,SOMANYCERA,Somany Ceramics Limited,531548,618.05,2.69,272762
10,CAPILLARY,Capillary Technologies India Ltd,544614,599.45,5.62,1297575
11,SUNFLAG,Sunflag Iron And Steel Company Limited,500404,410.65,3.49,2066226
12,BHAGERIA,Bhageria Industries Limited,530803,394.6,9.72,933103
13,STEELCAS,Steelcast Ltd,513517,376.5,5.23,1078414
14,SHANTIGOLD,Shanti Gold International Ltd,544459,325.68,14.83,36407266
15,ZUARIIND,Zuari Industries Ltd,500780,290.2,2.6,227243
16,STERTOOLS,Sterling Tools Limited,530759,239.46,2.75,34769
17,GREAVESCOT,Greaves Cotton Limited,501455,234.78,5.84,10729752
18,ROLEXRINGS,Rolex Rings Ltd,543325,195.35,7.68,7169312
19,MUKANDLTD,Mukand Limited,500460,167.05,7.59,1109036
20,EXCELSOFT,Excelsoft Technologies Ltd,544617,86.62,6.04,4192133
21,LLOYDSENT,Lloyds Enterprises Ltd,512463,79.67,5.41,11961867
22,DELTACORP,Delta Corp Limited,532848,76.84,5.72,26445158
23,UGARSUGAR,The Ugar Sugar Works Limited,530363,64.03,14.81,13699429
24,PROZONER,Prozone Realty Ltd,534675,56.75,4.78,1125326
25,SBC,SBC Exports Ltd,542725,53.02,10.44,23868200
26,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,46.81,3.4,1037819
27,PRIMO,Primo Chemicals Ltd,506852,25.28,13.41,1374230
