sr,nsecode,name,bsecode,close,per_chg,volume
1,VADILALIND,Vadilal Industries Limited,519156,7781.0,7.38,356736
2,KENNAMET,Kennametal India Ltd,505890,3674.1,2.85,79894
3,JUBLCPL,Jubilant Agri & Consumer Products Ltd,544355,2322.6,20.0,282455
4,RPEL,Raghav Productivity Enhancers Ltd,539837,1396.0,8.28,262554
5,PARAS,Paras Defence and Space Technologies Ltd,543367,1342.2,4.8,1643001
6,PITTIENG,Pitti Engineering Ltd,513519,1064.95,2.0,344293
7,NELCO,Nelco Limited,504112,1047.5,7.54,1199433
8,DHUNINV,Dhunseri Investments Limited,533336,1042.6,7.24,31023
9,BIL,Bhartiya International Limited,526666,850.0,3.58,37467
10,CLEAN,Clean Science & Technology Ltd,543318,836.35,3.91,883663
11,RAYMOND,Raymond Limited,500330,642.0,3.72,921896
12,TRUALT,TruAlt Bioenergy Ltd,544545,489.35,5.21,1026278
13,PRECWIRE,Precision Wires India Limited,523539,468.65,10.98,6856446
14,MIDHANI,Mishra Dhatu Nigam Ltd,541195,444.85,8.91,16215062
15,MAXESTATES,Max Estates Ltd,544008,439.55,4.49,222318
16,STEELCAS,Steelcast Ltd,513517,354.15,7.4,680360
17,VALIANTORG,Valiant Organics Ltd,540145,341.55,5.0,98755
18,HITECHCORP,Hitech Corporation,526217,331.0,1.46,19491
19,MODISONLTD,Modison Ltd,506261,323.0,4.6,311233
20,BIRLACABLE,Birla Cable Limited,500060,305.0,3.68,478343
21,SURAKSHA,Suraksha Diagnostic Ltd,544293,304.45,12.61,3887175
22,UTTAMSUGAR,Uttam Sugar Mills Limited,532729,264.99,4.52,395523
23,KANPRPLA,Kanpur Plastipack Ltd,507779,260.38,12.02,918762
24,EDELWEISS,Edelweiss Financial Services Limited,532922,124.88,5.03,10071054
25,MUNJALAU,Munjal Auto Industries Limited,520059,119.37,19.57,41518431
26,OMAXE,Omaxe Limited,532880,98.37,19.99,19398685
27,SALSTEEL,SAL Steel,532604,69.35,9.99,1402916
28,SIGACHI,Sigachi Industries Ltd,543389,27.77,4.71,2224610
29,STLNETWORK,STL Networks Ltd,544395,26.89,2.75,4634527
30,MUKKA,Mukka Proteins Ltd,544135,26.16,8.19,5342396
