sr,nsecode,name,bsecode,close,per_chg,volume
1,ENTERO,Entero Healthcare Solutions Ltd,544122,1753.5,6.4,1277994
2,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1270.7,2.85,52849
3,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,973.05,0.8,684457
4,MANINDS,Man Industries (india) Limited,513269,767.45,9.15,2263237
5,ORKLAINDIA,Orkla India Ltd,544595,606.0,4.52,407447
6,RAMRAT,Ram Ratna Wires Ltd,522281,569.6,8.76,3785377
7,OAL,Oriental Aromatics Ltd,500078,428.95,6.9,565331
8,KAMATHOTEL,Kamat Hotels (i) Limited,526668,236.51,4.15,181700
9,MOSCHIP,Moschip Technologies Ltd,532407,219.36,6.72,17473565
10,IOLCP,Iol Chemicals And Pharmaceuticals Limited,524164,193.07,3.8,10366009
11,VINCOFE,Vintage Coffee & Beverages Ltd,538920,174.65,6.44,9713496
12,NRL,Nupur Recyclers Ltd,535413,125.0,1.17,101311
13,ALEMBICLTD,Alembic Limited,506235,102.77,4.12,2895906
14,BODALCHEM,Bodal Chemicals Limited,524370,94.47,4.99,1042178
15,ANUHPHR,Anuh Pharma Ltd,506260,83.58,5.77,339632
16,JTLIND,JTL Industries Ltd,534600,82.57,1.93,6724877
17,SHREDIGCEM,Shree Digvijay Cement Co. Ltd,502180,77.91,3.49,228970
18,PVP,Pvp Ventures Limited,517556,62.12,9.99,6580316
19,IMAGICAA,Imagicaaworld Entertainment Ltd,539056,60.21,19.99,34242813
20,HCC,Hindustan Construction Company Limited,500185,25.1,5.11,202003226
