sr,nsecode,name,bsecode,close,per_chg,volume
1,YASHO,Yasho Industries Ltd,541167,4915.8,12.69,240192
2,NEOGEN,Neogen Chemicals Ltd,542665,2328.5,2.57,1415053
3,MACPOWER,Macpower CNC Machines Ltd,535057,1983.6,11.35,190859
4,PARAS,Paras Defence and Space Technologies Ltd,543367,1527.3,10.0,5405217
5,RPEL,Raghav Productivity Enhancers Ltd,539837,1495.2,4.55,116007
6,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1112.0,1.17,41352
7,YUKEN,Yuken India Ltd,522108,880.0,7.06,23830
8,SGMART,SG Mart Ltd,512329,804.95,7.0,907354
9,MSTCLTD,MSTC Ltd,542597,701.55,7.4,1266456
10,MMFL,Mm Forgings Limited,522241,680.2,7.58,935497
11,JINDRILL,Jindal Drilling And Industries Limited,511034,651.15,11.08,17885822
12,HNDFDS,Hindustan Foods Ltd,519126,635.55,4.45,265619
13,DOLPHIN,Dolphin Offshore Enterprises (India) Ltd,522261,619.4,7.38,553661
14,UFLEX,Uflex Limited,500148,613.3,4.65,6025632
15,GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,609.75,1.52,1478157
16,NITINSPIN,Nitin Spinners Limited,532698,606.9,9.6,3703991
17,EMUDHRA,eMudhra Ltd,543533,562.05,8.35,705456
18,BLISSGVS,Bliss Gvs Pharma Limited,506197,546.5,5.0,957967
19,BALUFORGE,Balu Forge Industries Ltd,531112,542.55,5.69,4047542
20,AEROFLEX,Aeroflex Industries Ltd,543972,485.85,6.58,3213334
21,ASIANENE,Asian Energy Services Ltd,530355,463.05,8.89,3647876
22,ARIES,Aries Agro Limited,532935,442.7,1.85,175439
23,STYLEBAAZA,Baazar Style Retail Ltd,544243,402.65,4.99,4855079
24,MMP,MMP Industries Ltd,535071,379.8,8.51,191409
25,MODISONLTD,Modison Ltd,506261,373.9,5.0,439962
26,INDSWFTLAB,Ind-swift Laboratories Limited,532305,346.87,10.81,5070310
27,WINDMACHIN,Windsor Machines Limited,522029,318.9,6.16,1516455
28,UTTAMSUGAR,Uttam Sugar Mills Limited,532729,290.32,2.59,559831
29,PRABHA,Prabha Energy Ltd,544379,192.2,17.64,5359104
30,REGAAL,Regaal Resources Ltd,544485,99.53,10.03,2975990
31,PREMIERPOL,Premier Polyfilm Limited,514354,86.37,3.33,2453055
32,PVP,Pvp Ventures Limited,517556,40.2,8.62,3330520
33,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,34.5,2.01,152712
34,SIGACHI,Sigachi Industries Ltd,543389,29.61,12.37,10361044
