sr,nsecode,name,bsecode,close,per_chg,volume
1,CENTUM,Centum Electronics Limited,517544,4739.2,9.37,296060
2,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1698.4,6.73,608531
3,GMMPFAUDLR,GMM Pfaudler Ltd,505255,1507.2,2.74,894431
4,ORCHPHARMA,Orchid Pharma Ltd,524372,1081.8,9.31,573549
5,SUPRIYA,Supriya Lifescience Ltd,543434,957.7,5.67,538805
6,AGI,AGI Greenpac Ltd,500187,819.35,9.97,1015912
7,SUNDROP,Sundrop Brands Ltd,500215,707.95,6.72,220799
8,GVPIL,GE Power India Ltd,532309,688.9,5.0,340873
9,GCSL,Gretex Corporate Services Ltd,543324,635.1,2.68,2124554
10,SRHHYPOLTD,Sree Rayalaseema Hi-strength Hypo Limited,532842,627.7,20.0,292484
11,SOMANYCERA,Somany Ceramics Limited,531548,589.45,2.94,391433
12,JASH,Jash Engineering Ltd,535019,575.9,10.51,14684581
13,TSFINV,Tsf Investments Ltd,535060,460.35,1.03,114026
14,BHAGERIA,Bhageria Industries Limited,530803,361.4,7.96,595911
15,SURAKSHA,Suraksha Diagnostic Ltd,544293,349.1,4.18,289082
16,RATNAVEER,Ratnaveer Precision Engineering Ltd,543978,334.55,11.8,20650744
17,KROSS,Kross Ltd,544253,256.93,7.42,5129120
18,RSWM,Rswm Limited,500350,231.4,4.99,334017
19,SURAJEST,Suraj Estate Developers Ltd,544054,216.41,12.57,2686641
20,KILITCH,Kilitch Drugs (india) Limited,524500,201.02,5.0,46481
21,SAMBHV,Sambhv Steel Tubes Ltd,544430,155.13,5.12,59833915
22,MANAKCOAT,Manaksia Coated Metals & Industries Limited,539046,135.19,4.62,1171795
23,INDOAMIN,Indo Amines Ltd,524648,132.87,4.99,118165
24,INDORAMA,Indo Rama Synthetics (india) Limited,500207,106.55,17.02,13822935
25,FILATEX,Filatex India Limited,526227,102.2,8.92,13909256
26,PAISALO,Paisalo Digital Ltd,532900,92.85,3.73,34251160
27,KAMDHENU,Kamdhenu Limited,532741,42.48,3.48,3044269
28,IL&FSENGG,Il&fs Engineering And Construction Company Limited,532907,42.08,3.75,58238
29,AHCL,Anlon Healthcare Ltd,544497,26.24,14.59,130243729
