sr,nsecode,name,bsecode,close,per_chg,volume
1,SPECTRUM,Spectrum Electrical Industries Ltd,535112,2741.6,5.0,22007
2,WHEELS,Wheels India Limited,590073,2400.6,13.97,6608762
3,NOVARTIND,Novartis India Ltd,500672,2186.4,20.0,785816
4,AXISCADES,AXISCADES Technologies Ltd,532395,1875.7,1.47,347063
5,RACLGEAR,RACL Geartech Ltd,520073,1633.9,6.08,98666
6,INDNIPPON,India Nippon Electricals Limited,532240,1313.3,17.02,1613322
7,ANTELOPUS,Antelopus Selan Energy Ltd,530075,1169.4,6.39,13072209
8,BIL,Bhartiya International Limited,526666,1108.2,18.29,191572
9,YUKEN,Yuken India Ltd,522108,1067.7,4.95,38375
10,ASTEC,Astec Lifesciences Limited,533138,761.0,14.82,5356635
11,EBGNG,GNG Electronics Ltd,544455,675.8,1.6,1154375
12,UNIVPHOTO,Universus Photo Imagings Ltd,542933,566.25,4.74,7505
13,BHAGYANGR,Bhagyanagar India,512296,411.65,5.0,471785
14,SHIVALIK,Shivalik Rasayan Ltd,539148,384.9,20.0,471778
15,ARTEMISMED,Artemis Medicare Services Ltd,542919,354.3,3.58,813189
16,SREEL,Sreeleathers Limited,535601,345.01,20.0,635232
17,PPL,Prakash Pipes Ltd,542684,287.55,4.93,79281
18,JAYAGROGN,Jayant Agro Organics Limited,524330,256.9,3.16,140900
19,RAIN,Rain Industries Limited,500339,222.5,2.15,11435273
20,CHEMCON,Chemcon Speciality Chemicals Ltd,543233,220.0,5.0,139577
21,SHAREINDIA,Share India Securities Ltd,540725,189.46,10.85,28867559
22,NOCIL,Nocil Limited,500730,188.28,1.73,2843821
23,KANORICHEM,Kanoria Chemicals & Industries Limited,506525,166.8,4.97,94989
24,CONFIPET,Confidence Petroleum India Ltd,526829,90.66,9.9,15689882
25,INDORAMA,Indo Rama Synthetics (india) Limited,500207,86.13,14.87,7613089
26,STLNETWORK,STL Networks Ltd,544395,33.2,5.0,12406425
27,GAYAPROJ,Gayatri Projects Limited,532767,23.64,1.63,3083761
