sr,nsecode,name,bsecode,close,per_chg,volume
1,DYNAMATECH,Dynamatic Technologies Limited,505242,11403.0,3.73,20384
2,KENNAMET,Kennametal India Ltd,505890,3123.7,2.13,28486
3,PGIL,Pearl Global Industries Limited,532808,2221.5,5.56,642556
4,AMBIKCO,Ambika Cotton Mills Limited,531978,1835.0,1.81,41789
5,BOSCH-HCIL,Bosch Home Comfort India Ltd,523398,1645.2,7.97,227828
6,BIRLANU,BirlaNu Ltd,509675,1538.7,10.17,473689
7,RACLGEAR,RACL Geartech Ltd,520073,1475.0,5.88,195869
8,INDIGOPNTS,Indigo Paints Ltd,543258,1128.6,3.47,94430
9,SUDARSCHEM,Sudarshan Chemical Industries Limited,506655,1115.6,2.87,518451
10,GMMPFAUDLR,GMM Pfaudler Ltd,505255,979.85,14.32,6204622
11,SHARDAMOTR,Sharda Motor Industries Limited,535602,934.15,3.64,424144
12,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,871.45,1.53,342906
13,GARFIBRES,Garware Technical Fibres Ltd,509557,838.85,5.2,544039
14,UFBL,United Foodbrands Ltd,543283,804.3,4.2,274867
15,YUKEN,Yuken India Ltd,522108,803.4,7.21,26598
16,SOTL,Savita Oil Technologies Limited,524667,781.95,15.16,6004735
17,VARROC,Varroc Engineering Ltd,541578,737.85,2.82,796119
18,SWELECTES,Swelect Energy Systems Limited,532051,663.3,4.94,51711
19,MMFL,Mm Forgings Limited,522241,603.55,5.78,468390
20,SRM,SRM Contractors Ltd,544158,529.05,3.62,282926
21,SUPRAJIT,Suprajit Engineering Limited,532509,527.55,0.66,522228
22,SRHHYPOLTD,Sree Rayalaseema Hi-strength Hypo Limited,532842,514.9,5.48,22054
23,IGARASHI,Igarashi Motors India Limited,517380,493.8,7.1,7802662
24,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,477.6,5.11,1101775
25,HLEGLAS,HLE Glascoat Ltd,522215,454.4,6.07,1064006
26,DIFFNKG,Diffusion Engineers Ltd,544264,443.9,4.64,787836
27,MIDHANI,Mishra Dhatu Nigam Ltd,541195,434.25,4.35,3174076
28,KOLTEPATIL,Kolte - Patil Developers Limited,532924,429.3,9.35,1221264
29,SUDARCOLOR,Sudarshan Colorants India Ltd,506390,428.6,12.38,249219
30,PRECWIRE,Precision Wires India Limited,523539,418.95,2.31,797520
31,SUNFLAG,Sunflag Iron And Steel Company Limited,500404,388.95,3.64,896517
32,BORANA,Borana Weaves Ltd,,344.95,4.69,103927
33,MARINE,Marine Electricals (India) Ltd,535119,321.85,5.35,2276706
34,DDEVPLSTIK,DDev Plastiks Industries Ltd,543547,310.6,7.7,748894
35,KTKBANK,The Karnataka Bank Limited,532652,306.8,2.39,7797727
36,IRMENERGY,IRM Energy Ltd,,293.0,5.76,621458
37,GREENLAM,Greenlam Industries Limited,538979,273.15,2.42,424698
38,RITES,Rites Ltd,541556,231.38,1.77,2202153
39,PTC,Ptc India Limited,532524,200.17,0.91,7809024
40,BAJEL,Bajel Projects Ltd,,194.34,5.73,1245617
41,EMIL,Electronics Mart India Ltd,543626,149.78,1.5,9559297
42,KOTHARIPET,Kothari Petrochemicals Limited,532096,149.53,3.75,312232
43,MANAKSTEEL,Manaksia Steels Limited,539044,88.13,8.35,497159
44,MOREPENLAB,Morepen Laboratories Limited,500288,79.42,3.21,100581767
45,GFLLIMITED,GFL Ltd,500173,52.0,4.4,152485
46,IMAGICAA,Imagicaaworld Entertainment Ltd,539056,51.1,3.0,1434641
47,PVP,Pvp Ventures Limited,517556,33.14,19.6,10496593
