sr,nsecode,name,bsecode,close,per_chg,volume
1,SMLMAH,SML Mahindra Ltd,505192,6298.5,10.0,427607
2,BALAMINES,Balaji Amines Limited,530999,2525.2,4.44,608894
3,WHEELS,Wheels India Limited,590073,1724.9,4.26,336451
4,RML,Rane (madras) Limited,532661,1295.9,14.95,2195205
5,INNOVACAP,Innova Captab Ltd,544067,1175.4,4.44,321751
6,GMMPFAUDLR,GMM Pfaudler Ltd,505255,1147.9,6.93,1049404
7,MAITHANALL,Maithan Alloys Limited,590078,1090.55,5.01,400161
8,TITAGARH,Titagarh Rail Systems Ltd,532966,871.85,3.28,3001183
9,WELENT,Welspun Enterprises Limited,532553,813.6,6.39,2915318
10,DEEPINDS,Deep Industries Ltd,543288,786.45,5.59,1324171
11,VISHNU,Vishnu Chemicals Limited,516072,702.0,1.97,623372
12,MAHSEAMLES,Maharashtra Seamless Limited,500265,688.1,5.29,1179393
13,SHANTIGEAR,Shanthi Gears Limited,522034,621.75,6.68,1612281
14,TEJASNET,Tejas Networks Ltd,540595,614.15,8.23,26085952
15,SKIPPER,Skipper Limited,538562,591.1,8.08,10118419
16,NRAIL,N R Agarwal Industries Ltd,516082,584.0,17.73,157426
17,IGPL,Ig Petrochemicals Limited,500199,567.4,3.38,200277
18,SRHHYPOLTD,Sree Rayalaseema Hi-strength Hypo Limited,532842,531.05,4.35,49199
19,RUBYMILLS,The Ruby Mills Limited,503169,428.3,4.71,23319
20,IONEXCHANG,Ion Exchange (India) Ltd,500214,409.2,7.06,1293430
21,SMSPHARMA,Sms Pharmaceuticals Limited,532815,392.5,4.9,473075
22,MENONBE,Menon Bearings Limited,523828,321.4,4.16,202288
23,GREENPLY,Greenply Industries Limited,526797,304.7,3.99,387224
24,BHAGERIA,Bhageria Industries Limited,530803,304.65,5.0,218809
25,EMKAY,Emkay Global Financial Services Limited,532737,267.25,3.69,54753
26,CSLFINANCE,CSL Finance Ltd,530067,251.77,3.24,94290
27,RSWM,Rswm Limited,500350,220.63,1.54,67600
28,RBZJEWEL,RBZ Jewellers Ltd,544060,200.69,4.7,6929954
29,MVGJL,Manoj Vaibhav Gems N Jewellers Ltd,543995,179.9,4.61,1146917
30,EXICOM,Exicom Tele-Systems Ltd,544133,177.85,7.05,5389417
31,NRL,Nupur Recyclers Ltd,535413,126.92,1.99,109113
32,RADHIKAJWE,Radhika Jeweltech Ltd,540125,83.16,16.6,14544177
33,PNBGILTS,Pnb Gilts Limited,532366,83.08,5.66,2416618
34,INDORAMA,Indo Rama Synthetics (india) Limited,500207,72.96,5.94,1609101
35,GFLLIMITED,GFL Ltd,500173,62.81,7.09,497897
36,JINDWORLD,Jindal Worldwide Limited,531543,57.51,19.44,188275533
37,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,41.66,3.09,210611
38,KAMDHENU,Kamdhenu Limited,532741,39.24,1.21,1255794
39,COFFEEDAY,Coffee Day Enterprises Limited,539436,32.86,4.98,1123239
40,MUKKA,Mukka Proteins Ltd,544135,31.34,9.12,6910108
41,STLNETWORK,STL Networks Ltd,544395,28.87,4.98,2164957
