sr,nsecode,name,bsecode,close,per_chg,volume
1,FOSECOIND,Foseco India Limited,500150,6362.0,4.12,86007
2,ENTERO,Entero Healthcare Solutions Ltd,544122,1808.6,3.14,815739
3,QPOWER,Quality Power Electrical Equipments Ltd,544367,1431.2,5.0,582162
4,CYIENT,Cyient Limited,532175,1107.45,5.2,2503595
5,YUKEN,Yuken India Ltd,522108,993.4,6.97,43929
6,UNIPARTS,Uniparts India Ltd,543689,873.15,8.02,467444
7,AGI,AGI Greenpac Ltd,500187,774.8,5.03,385938
8,MAHSEAMLES,Maharashtra Seamless Limited,500265,661.7,3.06,550119
9,EBGNG,GNG Electronics Ltd,544455,635.1,9.45,1346148
10,FMGOETZE,Federal-mogul Goetze (india) Limited.,505744,602.05,10.36,18185623
11,RAMRAT,Ram Ratna Wires Ltd,522281,591.9,3.92,1319098
12,TEJASNET,Tejas Networks Ltd,540595,550.15,7.63,43164679
13,PRECWIRE,Precision Wires India Limited,523539,507.35,20.0,8561415
14,OAL,Oriental Aromatics Ltd,500078,487.8,13.72,765470
15,DYCL,Dynamic Cables Ltd,540795,487.6,8.78,2566700
16,MARINE,Marine Electricals (India) Ltd,535119,406.8,8.74,2596284
17,GENUSPOWER,Genus Power Infrastructures Limited,530343,349.7,5.27,8939930
18,SIMPLEXINF,Simplex Infrastructures Limited,523838,277.59,7.31,543731
19,INDOCO,Indoco Remedies Limited,532612,248.8,2.59,256307
20,BHAGERIA,Bhageria Industries Limited,530803,238.75,5.0,184545
21,ARIS,Arisinfra Solutions Ltd,544419,151.31,5.16,5643850
22,OMAXE,Omaxe Limited,532880,131.74,16.19,24953289
23,GHCLTEXTIL,GHCL Textiles Ltd,543918,130.79,4.33,1355885
24,MANINFRA,Man Infraconstruction Limited,533169,122.81,6.37,7397297
25,NIITLTD,Niit Limited,500304,105.52,2.51,1104323
26,BODALCHEM,Bodal Chemicals Limited,524370,99.08,4.88,1598996
27,MANAKSTEEL,Manaksia Steels Limited,539044,94.79,5.0,244759
28,JTLIND,JTL Industries Ltd,534600,89.87,8.84,18590394
29,ELECTCAST,Electrosteel Castings Limited,500128,81.5,3.18,3779745
30,BLKASHYAP,B. L. Kashyap And Sons Limited,532719,58.57,3.72,2938216
31,MICEL,MIC Electronics Ltd,532850,41.54,4.98,549515
