sr,nsecode,name,bsecode,close,per_chg,volume
1,NILKAMAL,Nilkamal Limited,523385,2048.0,10.9,449954
2,EXCELINDUS,Excel Industries Limited,500650,1119.6,13.64,276370
3,BLACKBUCK,BlackBuck Ltd,544288,614.0,4.28,878695
4,STYLEBAAZA,Baazar Style Retail Ltd,544243,422.75,4.99,2099447
5,PRABHA,Prabha Energy Ltd,544379,199.91,4.01,1573370
6,PREMIERPOL,Premier Polyfilm Limited,514354,91.2,5.59,1135406
7,GFLLIMITED,GFL Ltd,500173,56.76,10.82,168620
8,DWARKESH,Dwarikesh Sugar Industries Limited,532610,48.28,8.15,3519961
9,BAJAJHIND,Bajaj Hindusthan Sugar Limited,500032,20.37,9.52,48422222
