sr,nsecode,name,bsecode,close,per_chg,volume
1,SMLMAH,SML Mahindra Ltd,505192,6393.5,1.51,247779
2,CENTUM,Centum Electronics Limited,517544,4376.9,16.18,827315
3,BALAMINES,Balaji Amines Limited,530999,2566.8,1.65,490283
4,VENUSPIPES,Venus Pipes & Tubes Ltd,543528,1805.4,10.69,603283
5,RML,Rane (madras) Limited,532661,1388.2,7.12,976998
6,XPROINDIA,Xpro India Limited,590013,1362.0,2.78,340774
7,GMMPFAUDLR,GMM Pfaudler Ltd,505255,1235.7,7.65,1280855
8,STAR,Strides Shasun Limited,532531,1178.8,11.25,2617272
9,PITTIENG,Pitti Engineering Ltd,513519,1176.2,8.42,1699396
10,SAKAR,Sakar Healthcare Ltd,538377,1109.2,9.4,339553
11,RISHABH,Rishabh Instruments Ltd,543977,809.95,9.68,774109
12,MSTCLTD,MSTC Ltd,542597,785.65,7.01,1016067
13,RAYMOND,Raymond Limited,500330,772.4,4.26,3293248
14,VISHNU,Vishnu Chemicals Limited,516072,726.5,3.49,401102
15,DOLPHIN,Dolphin Offshore Enterprises (India) Ltd,522261,720.4,6.88,400551
16,SOLARA,Solara Active Pharma Sciences Ltd,541540,697.05,9.06,2187893
17,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,634.5,9.56,759426
18,GCSL,Gretex Corporate Services Ltd,543324,601.85,1.13,1222825
19,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,539334,514.9,8.34,399174
20,UNIVPHOTO,Universus Photo Imagings Ltd,542933,514.9,5.0,5224
21,RUBYMILLS,The Ruby Mills Limited,503169,457.0,6.7,175583
22,MMP,MMP Industries Ltd,535071,444.95,10.1,388765
23,IONEXCHANG,Ion Exchange (India) Ltd,500214,439.1,7.31,4902160
24,JKPAPER,Jk Paper Limited,532162,420.05,3.51,2617975
25,ARTEMISMED,Artemis Medicare Services Ltd,542919,343.5,3.22,782569
26,CONSOFINVT,Consolidated Finvest & Holdings Limited,500226,302.7,4.99,29631
27,SREEL,Sreeleathers Limited,535601,279.4,5.23,72657
28,KOPRAN,Kopran Limited,524280,245.87,5.73,2037485
29,HIKAL,Hikal Limited,524735,243.0,9.31,31089358
30,SESHAPAPER,Seshasayee Paper And Boards Limited,502450,242.37,3.98,250778
31,MOLDTECH,Mold-tek Technologies Limited,526263,219.18,4.89,131595
32,MVGJL,Manoj Vaibhav Gems N Jewellers Ltd,543995,215.88,20.0,3202765
33,IOLCP,Iol Chemicals And Pharmaceuticals Limited,524164,213.04,6.55,10023570
34,EXICOM,Exicom Tele-Systems Ltd,544133,184.33,3.64,4232220
35,PENIND,Pennar Industries Limited,513228,175.96,3.77,1301524
36,FEDFINA,Fedbank Financial Services Ltd,544027,165.45,2.41,2135760
37,AEROENTER,Aeroflex Enterprises Ltd,511076,154.73,9.11,3260028
38,NRL,Nupur Recyclers Ltd,535413,132.78,4.62,251730
39,GANESHBE,Ganesh Benzoplast Ltd,500153,129.39,5.0,327639
40,TEXRAIL,Texmaco Rail & Engineering Limited,533326,119.46,2.99,9209299
41,PDMJEPAPER,Pudumjee Paper Products Limited,539785,101.43,8.81,5921103
42,ARFIN,Arfin India Ltd,539151,95.27,9.2,4760846
43,RADHIKAJWE,Radhika Jeweltech Ltd,540125,94.28,13.37,31907643
44,ANUHPHR,Anuh Pharma Ltd,506260,90.29,11.33,1069062
45,SMCGLOBAL,SMC Global Securities Ltd,543263,84.95,4.55,3923881
46,PAISALO,Paisalo Digital Ltd,532900,79.41,7.17,35087813
47,ANDHRAPAP,Andhra Paper Ltd,502330,72.2,12.02,27336653
48,SATIA,Satia Industries Ltd,539201,68.19,7.62,793900
49,JINDWORLD,Jindal Worldwide Limited,531543,58.52,1.76,95411627
50,FCL,Fineotex Chemical Limited,533333,56.66,10.0,42019821
