sr,nsecode,name,bsecode,close,per_chg,volume
1,VOLTAMP,Voltamp Transformers Limited,532757,11292.0,3.89,137437
2,KENNAMET,Kennametal India Ltd,505890,4235.5,4.72,96674
3,ALKYLAMINE,Alkyl Amines Chemicals Limited,506767,2083.8,1.52,286239
4,WHEELS,Wheels India Limited,590073,1561.4,3.21,145924
5,DPABHUSHAN,D.P. Abhushan Ltd,535026,1533.3,3.43,94114
6,ENTERO,Entero Healthcare Solutions Ltd,544122,1529.8,7.46,1343377
7,PVRINOX,PVR Inox Ltd,532689,1245.0,2.32,1281972
8,SUDARSCHEM,Sudarshan Chemical Industries Limited,506655,1236.1,1.73,1116212
9,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1175.0,1.79,34895
10,MANGLMCEM,Mangalam Cement Limited,502157,1045.4,1.7,503555
11,MSTCLTD,MSTC Ltd,542597,730.6,4.16,988225
12,GUJALKALI,Gujarat Alkalies And Chemicals Limited,530001,723.0,5.66,1413898
13,SANDHAR,Sandhar Technologies Limited,541163,680.6,1.92,631257
14,BALUFORGE,Balu Forge Industries Ltd,531112,632.2,13.83,17061706
15,STEL,Stel Holdings Limited,,625.0,2.28,19609
16,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,611.1,7.93,1261138
17,SKIPPER,Skipper Limited,538562,575.0,3.79,3497823
18,SMARTWORKS,Smartworks Coworking Spaces Ltd,544447,550.5,5.21,696530
19,MAXESTATES,Max Estates Ltd,544008,549.15,10.97,2180752
20,KIRIINDUS,Kiri Industries Limited,532967,502.4,5.13,3733809
21,ARIES,Aries Agro Limited,532935,459.05,1.4,118261
22,QUADFUTURE,Quadrant Future Tek Ltd,544336,447.3,10.35,25993295
23,KRBL,Krbl Limited,530813,437.8,7.58,6572732
24,GUJTHEM,Gujarat Themis Biosyn Ltd,506879,411.7,8.0,1337706
25,HERITGFOOD,Heritage Foods Limited,519552,387.55,1.76,603386
26,ORIENTBELL,Orient Bell Limited,530365,379.7,5.63,147868
27,CLSEL,Chamanlal Setia Exports Ltd,530307,312.75,8.46,3207789
28,KAMATHOTEL,Kamat Hotels (i) Limited,526668,224.0,7.87,550867
29,UDS,Updater Services Ltd,543996,221.1,2.52,936894
30,20MICRONS,20 Microns Limited,533022,213.26,4.44,712674
31,AMANTA,Amanta Healthcare Ltd,544502,205.2,4.81,329343
32,KCP,Kcp Limited,590066,175.35,7.03,1729951
33,NAHARINDUS,Nahar Industrial Enterprises Limited,519136,147.6,17.51,940785
34,ARIS,Arisinfra Solutions Ltd,544419,145.35,1.35,7857520
35,BLUSPRING,Bluspring Enterprises Ltd,544414,133.01,3.12,2386120
36,THEMISMED,Themis Medicare Limited,530199,120.81,13.82,1461744
37,JAYNECOIND,Jayaswal Neco Industries Limited,522285,104.22,4.33,13196903
38,VALIANTLAB,Valiant Laboratories Ltd,,100.52,4.99,186900
39,GEOJITFSL,Geojit Financial Services Ltd,532285,82.98,2.8,1890394
40,BODALCHEM,Bodal Chemicals Limited,524370,82.91,4.99,450316
41,UGARSUGAR,The Ugar Sugar Works Limited,530363,58.01,2.67,2552909
42,FCL,Fineotex Chemical Limited,533333,49.62,4.62,43200173
43,PVP,Pvp Ventures Limited,517556,48.59,7.14,5411350
44,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,38.5,4.85,244754
45,ATL,Allcargo Terminals Ltd,543954,27.45,10.42,1528071
46,BAJAJHIND,Bajaj Hindusthan Sugar Limited,500032,24.23,4.76,270699057
47,HCC,Hindustan Construction Company Limited,500185,22.52,7.09,93339336
48,GAYAPROJ,Gayatri Projects Limited,532767,22.39,2.9,1022944
