sr,nsecode,name,bsecode,close,per_chg,volume
1,RPEL,Raghav Productivity Enhancers Ltd,539837,1885.2,6.23,181647
2,WHEELS,Wheels India Limited,590073,1654.4,7.13,331834
3,ANTELOPUS,Antelopus Selan Energy Ltd,530075,1013.3,6.53,19196421
4,KSL,Kalyani Steels Limited,500235,950.2,5.08,226200
5,RAYMOND,Raymond Limited,500330,757.9,13.59,16593917
6,DEEPINDS,Deep Industries Ltd,543288,744.85,7.38,1577916
7,VISHNU,Vishnu Chemicals Limited,516072,688.45,4.38,294149
8,KIRIINDUS,Kiri Industries Limited,532967,578.95,10.56,7182969
9,TBZ,Tribhovandas Bhimji Zaveri Limited,534369,437.15,4.52,6949776
10,BHAGERIA,Bhageria Industries Limited,530803,290.15,4.99,390157
11,MAZDA,Mazda Limited,523792,272.85,4.42,52375
12,HIKAL,Hikal Limited,524735,240.36,19.82,20195810
13,UDS,Updater Services Ltd,543996,236.61,2.23,1784517
14,RSWM,Rswm Limited,500350,217.28,5.0,137349
15,RBZJEWEL,RBZ Jewellers Ltd,544060,191.68,18.71,11694931
16,HINDOILEXP,Hindustan Oil Exploration Company Limited,500186,184.38,10.95,35250701
17,EDELWEISS,Edelweiss Financial Services Limited,532922,134.76,6.8,14107589
18,MANAKSTEEL,Manaksia Steels Limited,539044,111.91,2.39,656021
19,ALEMBICLTD,Alembic Limited,506235,109.51,9.36,35036495
20,MANALIPETC,Manali Petrochemicals Limited,500268,89.73,8.42,39146179
21,PASUPTAC,Pasupati Acrylon Ltd,500456,66.79,3.33,173715
22,JINDWORLD,Jindal Worldwide Limited,531543,48.15,19.81,110819795
23,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,40.41,6.23,288213
24,KAMDHENU,Kamdhenu Limited,532741,38.77,3.52,1196583
25,MUKKA,Mukka Proteins Ltd,544135,28.72,6.96,3369622
