sr,nsecode,name,bsecode,close,per_chg,volume
1,KERNEX,Kernex Microsystems (india) Limited,532686,2549.2,5.38,299458
2,AUTOAXLES,Automotive Axles Limited,505010,1940.0,3.72,97825
3,AMBIKCO,Ambika Cotton Mills Limited,531978,1804.0,1.39,36067
4,LUMAXTECH,Lumax Auto Technologies Limited,532796,1697.9,3.89,301915
5,BOSCH-HCIL,Bosch Home Comfort India Ltd,523398,1523.8,5.86,159511
6,RPTECH,Rashi Peripherals Ltd,,902.85,3.67,2510671
7,GARFIBRES,Garware Technical Fibres Ltd,509557,810.0,4.57,176068
8,UNIPARTS,Uniparts India Ltd,543689,801.65,9.37,1466681
9,ASHAPURMIN,Ashapura Minechem Limited,527001,739.7,2.84,974136
10,VARROC,Varroc Engineering Ltd,541578,717.6,5.41,1320917
11,ASKAUTOLTD,ASK Automotive Ltd,544022,637.55,15.64,18019129
12,WESTLIFE,Westlife Foodworld Ltd,505533,587.0,8.19,862105
13,ATULAUTO,Atul Auto Limited,531795,580.95,4.15,1108494
14,SAREGAMA,Saregama India Limited,532163,557.25,2.71,2472015
15,JGCHEM,J.G.Chemicals Ltd,,548.25,8.4,1818044
16,APOLLOPIPE,Apollo Pipes Ltd,531761,534.15,1.29,780226
17,IGPL,Ig Petrochemicals Limited,500199,514.45,2.09,125170
18,MANYAVAR,Vedant Fashions Ltd,543463,504.35,3.8,16405389
19,SANGHVIMOV,Sanghvi Movers Limited,530073,474.2,8.13,996315
20,TRUALT,TruAlt Bioenergy Ltd,544545,461.55,5.69,735504
21,NRBBEARING,Nrb Bearing Limited,530367,457.7,6.47,1540642
22,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,454.4,10.17,1022255
23,TALBROAUTO,Talbros Automotive Components Limited,505160,438.3,5.55,529905
24,TERASOFT,Tera Software Ltd,533982,428.95,4.99,30006
25,MAMATA,Mamata Machinery Ltd,544318,425.15,2.59,238907
26,PRECWIRE,Precision Wires India Limited,523539,409.5,7.42,1197877
27,MMP,MMP Industries Ltd,535071,330.45,9.77,382602
28,VSSL,Vardhman Special Steels Limited,534392,329.35,8.05,759612
29,NAHARSPING,Nahar Spinning Mills Limited,500296,328.95,1.62,117236
30,ARTEMISMED,Artemis Medicare Services Ltd,542919,322.15,6.76,1314798
31,IRMENERGY,IRM Energy Ltd,,277.05,1.63,86898
32,GREENLAM,Greenlam Industries Limited,538979,266.7,7.67,733243
33,DVL,Dhunseri Ventures Ltd,523736,266.67,7.42,42465
34,RAIN,Rain Industries Limited,500339,242.68,1.94,8671154
35,PTC,Ptc India Limited,532524,198.36,8.13,17703107
36,CHEMCON,Chemcon Speciality Chemicals Ltd,543233,197.31,2.08,79542
37,LAOPALA,La Opala Rg Limited,526947,196.1,3.04,8551829
38,RICOAUTO,Rico Auto Industries Limited,520008,155.81,6.9,8747836
39,KECL,Kirloskar Electric Company Limited,533193,150.21,10.0,1083229
40,EMIL,Electronics Mart India Ltd,543626,147.56,10.81,16772432
41,ADVANCE,Advance Agrolife Ltd,544562,132.35,5.79,1054225
42,RGL,Renaissance Global Ltd,532923,124.95,6.69,839662
43,SUPREMEINF,Supreme Infrastructure India Limited,532904,94.39,8.34,1364010
44,KOKUYOCMLN,Kokuyo Camlin Limited,523207,88.97,4.49,44670
45,RBA,Restaurant Brands Asia Ltd,543248,87.74,3.33,126896989
46,MOREPENLAB,Morepen Laboratories Limited,500288,76.95,11.23,119149669
47,BODALCHEM,Bodal Chemicals Limited,524370,75.19,3.28,409878
48,ONMOBILE,Onmobile Global Limited,532944,73.39,4.99,296721
49,SNOWMAN,Snowman Logistics Limited,538635,40.57,2.89,3125251
50,COFFEEDAY,Coffee Day Enterprises Limited,539436,34.12,1.46,1178784
51,HTMEDIA,Ht Media Limited,532662,28.66,8.15,4510678
