sr,nsecode,name,bsecode,close,per_chg,volume
1,DYNAMATECH,Dynamatic Technologies Limited,505242,12516.0,2.85,35975
2,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1732.5,2.01,1014230
3,ROSSTECH,Rossell Techsys Ltd,544294,1494.1,9.88,1051024
4,ZOTA,Zota Health Care Ltd,538426,1356.0,5.3,1031885
5,ORCHPHARMA,Orchid Pharma Ltd,524372,1107.2,2.35,493833
6,GANDHITUBE,Gandhi Special Tubes Limited,513108,1003.2,10.33,315988
7,SHARDAMOTR,Sharda Motor Industries Limited,535602,985.75,2.92,141934
8,SVLL,Shree Vasu Logistics Ltd,535084,867.65,6.33,7371
9,AGI,AGI Greenpac Ltd,500187,845.7,3.22,476790
10,ASTEC,Astec Lifesciences Limited,533138,794.5,10.43,2103437
11,SUNDROP,Sundrop Brands Ltd,500215,742.35,4.86,291500
12,OPTIEMUS,Optiemus Infracom Ltd,530135,708.9,20.0,8046819
13,DICIND,Dic India Limited,500089,654.25,4.2,19144
14,SGIL,Synergy Green Industries Ltd,541929,636.8,6.47,39063
15,PROTEAN,Protean eGov Technologies Ltd,544021,620.65,5.49,14817622
16,SAATVIKGL,Saatvik Green Energy Ltd,,446.75,3.51,345259
17,SHIVALIK,Shivalik Rasayan Ltd,539148,416.9,4.5,297963
18,INDSWFTLAB,Ind-swift Laboratories Limited,532305,405.55,6.89,2018474
19,NRL,Nupur Recyclers Ltd,535413,158.35,5.0,290325
20,INDOAMIN,Indo Amines Ltd,524648,134.8,1.45,96970
21,AVTNPL,Avt Natural Products Limited,519105,98.26,9.13,4546154
22,ARIHANTCAP,Arihant Capital Markets Ltd,511605,90.99,11.49,6068298
23,KUANTUM,Kuantum Papers Ltd,532937,84.95,5.21,356156
24,PASUPTAC,Pasupati Acrylon Ltd,500456,76.37,7.31,967519
25,TIRUPATIFL,Tirupati Forge Ltd,535021,74.61,5.0,347410
26,ONEPOINT,One Point One Solutions Ltd,535039,63.2,5.28,6891301
27,STLNETWORK,STL Networks Ltd,544395,47.34,4.99,13000814
28,AHCL,Anlon Healthcare Ltd,544497,28.86,9.98,70018561
