sr,nsecode,name,bsecode,close,per_chg,volume
1,SPECTRUM,Spectrum Electrical Industries Ltd,535112,3022.5,5.0,47215
2,VENUSPIPES,Venus Pipes & Tubes Ltd,543528,2020.1,3.64,301736
3,VENKEYS,Venky's (india) Limited,523261,1787.2,4.72,254979
4,RACLGEAR,RACL Geartech Ltd,520073,1756.7,10.61,1142834
5,RAYMOND,Raymond Limited,500330,1002.8,17.44,16245056
6,MAHSEAMLES,Maharashtra Seamless Limited,500265,728.9,1.38,1045480
7,QUADFUTURE,Quadrant Future Tek Ltd,544336,478.5,9.8,10362562
8,SETL,Standard Enginnering Technology Ltd,544333,468.15,4.99,2933978
9,SMSPHARMA,Sms Pharmaceuticals Limited,532815,463.45,11.02,10401534
10,HERITGFOOD,Heritage Foods Limited,519552,417.4,4.86,3638335
11,HLEGLAS,HLE Glascoat Ltd,522215,404.35,10.0,870661
12,VALIANTORG,Valiant Organics Ltd,540145,396.3,4.99,133752
13,SESHAPAPER,Seshasayee Paper And Boards Limited,502450,251.14,1.69,179922
14,MOBIKWIK,One Mobikwik Systems Ltd,544305,209.7,7.72,18106631
15,JAMNAAUTO,Jamna Auto Industries Limited,520051,135.46,2.73,6244729
16,FILATEX,Filatex India Limited,526227,87.41,14.64,38898608
17,STLNETWORK,STL Networks Ltd,544395,36.6,4.99,5579818
18,GAYAPROJ,Gayatri Projects Limited,532767,26.03,4.96,2686464
19,SUBEXLTD,Subex Ltd,532348,20.8,5.26,34488169
