sr,nsecode,name,bsecode,close,per_chg,volume
1,VENUSPIPES,Venus Pipes & Tubes Ltd,543528,2131.7,9.99,1296328
2,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,1072.4,9.17,3679332
3,SOFTTECH,Softtech Engineers Ltd,535078,500.7,4.99,18047
4,GOCLCORP,Gocl Corporation Limited,506480,456.15,6.48,1122429
5,SHAREINDIA,Share India Securities Ltd,540725,218.44,11.42,28924428
6,PAISALO,Paisalo Digital Ltd,532900,88.73,4.89,26502335
7,TREL,TransIndia Real Estate Ltd,543955,29.77,10.14,726901
8,IBULLSLTD,Indiabulls Limited,533520,29.65,2.99,30372525
9,3IINFOLTD,3i Infotech Ltd,532628,25.76,2.96,428053
