sr,nsecode,name,bsecode,close,per_chg,volume
1,SPECTRUM,Spectrum Electrical Industries Ltd,535112,3173.6,5.0,29046
2,ROSSTECH,Rossell Techsys Ltd,544294,1265.4,4.21,1062808
3,ARROWGREEN,Arrow Greentech Limited,516064,838.55,3.14,225224
4,JINDALPOLY,Jindal Poly Films Limited,500227,737.9,9.92,346025
5,EMUDHRA,eMudhra Ltd,543533,592.85,20.0,1550701
6,SOFTTECH,Softtech Engineers Ltd,535078,474.95,5.0,13382
7,ARIHANTCAP,Arihant Capital Markets Ltd,511605,81.45,3.1,1185062
8,PASUPTAC,Pasupati Acrylon Ltd,500456,70.48,5.07,667184
9,STLNETWORK,STL Networks Ltd,544395,37.2,1.64,14945148
10,GAYAPROJ,Gayatri Projects Limited,532767,26.15,0.46,3617474
11,AHCL,Anlon Healthcare Ltd,544497,20.18,3.12,165056337
