sr,nsecode,name,bsecode,close,per_chg,volume
1,TASTYBITE,Tasty Bite Eatables Ltd,519091,10030.0,10.34,226724
2,TVSSRICHAK,Tvs Srichakra Limited,509243,4478.1,12.1,711409
3,TIIL,Technocraft Industries (india) Limited,532804,3088.7,6.96,697944
4,GALAXYSURF,Galaxy Surfactants Ltd,540935,2508.4,20.0,632653
5,JUBLCPL,Jubilant Agri & Consumer Products Ltd,544355,2407.5,3.66,170516
6,EIMCOELECO,Eimco Elecon (india) Limited,523708,2018.0,6.55,179465
7,MANORAMA,Manorama Industries Ltd,541974,1737.1,7.62,7298442
8,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1522.6,6.71,668970
9,KRN,KRN Heat Exchanger and Refrigeration Ltd,544263,1468.3,5.0,407623
10,RPEL,Raghav Productivity Enhancers Ltd,539837,1433.9,3.25,243416
11,PARAS,Paras Defence and Space Technologies Ltd,543367,1377.5,2.63,2826601
12,DIVGIITTS,Divgi Torqtransfer Systems Ltd,543812,1301.05,6.67,598493
13,DREDGECORP,Dredging Corporation Of India Limited,523618,1166.4,9.58,1436038
14,ARROWGREEN,Arrow Greentech Limited,516064,820.0,4.79,121485
15,STEL,Stel Holdings Limited,,583.9,4.19,5634
16,GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,568.95,3.37,908144
17,PANACHE,Panache Digilife Ltd,538424,524.75,4.99,20144
18,APEX,Apex Frozen Foods Ltd,540692,426.35,15.95,9316207
19,HAPPSTMNDS,Happiest Minds Technologies Ltd,543227,420.2,6.43,6697476
20,KRBL,Krbl Limited,530813,386.4,3.76,4140543
21,STYLEBAAZA,Baazar Style Retail Ltd,544243,365.25,4.99,2040177
22,TARSONS,Tarsons Products Ltd,543399,360.3,15.22,9830522
23,VSSL,Vardhman Special Steels Limited,534392,353.35,8.01,784944
24,SHANTIGOLD,Shanti Gold International Ltd,544459,247.66,6.8,8748136
25,RATNAVEER,Ratnaveer Precision Engineering Ltd,543978,230.16,4.62,21537789
26,MUNJALAU,Munjal Auto Industries Limited,520059,120.53,0.97,24017645
27,OMAXE,Omaxe Limited,532880,99.14,0.78,18269195
28,MOREPENLAB,Morepen Laboratories Limited,500288,84.19,4.08,40157885
29,JAIBALAJI,Jai Balaji Industries Limited,532976,70.6,2.51,994397
30,MOL,Meghmani Organics Ltd,543331,63.23,9.05,12717513
31,UNITEDPOLY,United Polyfab Gujarat Ltd,533024,33.44,3.31,231621
