sr,nsecode,name,bsecode,close,per_chg,volume
1,INDOTECH,Indo Tech Transformers Limited,532717,3792.6,0.13,39281
2,KENNAMET,Kennametal India Ltd,505890,3309.9,5.96,37533
3,FIEMIND,Fiem Industries Limited,532768,2580.3,4.07,195760
4,PGIL,Pearl Global Industries Limited,532808,2464.1,10.92,2215967
5,THEJO,Thejo Engineering Ltd,500492,2237.5,3.63,20237
6,GALAXYSURF,Galaxy Surfactants Ltd,540935,2066.7,4.36,52126
7,AVALON,Avalon Technologies Ltd,543896,1965.3,10.75,1877232
8,AMBIKCO,Ambika Cotton Mills Limited,531978,1904.3,4.29,83658
9,MACPOWER,Macpower CNC Machines Ltd,535057,1682.0,6.39,148338
10,BIRLANU,BirlaNu Ltd,509675,1641.5,6.68,111225
11,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1446.7,8.25,630827
12,DIAMONDYD,Prataap Snacks Ltd,540724,1227.4,5.25,445511
13,DIVGIITTS,Divgi Torqtransfer Systems Ltd,543812,1047.25,5.93,189136
14,SBCL,Shivalik Bimetal Controls Ltd,513097,920.9,19.99,6015282
15,VARROC,Varroc Engineering Ltd,541578,811.2,9.94,15190210
16,ARROWGREEN,Arrow Greentech Limited,516064,782.0,4.81,57522
17,ALICON,Alicon Castalloy Limited,531147,745.0,0.96,202525
18,SKYGOLD,Sky Gold Ltd,541967,719.4,4.09,2030710
19,GLOSTERLTD,Gloster Ltd,542351,697.45,2.63,8330
20,SWELECTES,Swelect Energy Systems Limited,532051,670.6,1.1,35052
21,ARVSMART,Arvind Smartspaces Limited,539301,650.75,7.87,6910360
22,MMFL,Mm Forgings Limited,522241,629.1,4.23,686458
23,MATRIMONY,Matrimony.com Ltd,540704,480.8,7.35,193717
24,HLEGLAS,HLE Glascoat Ltd,522215,467.05,2.78,1276189
25,PANACHE,Panache Digilife Ltd,538424,461.0,4.1,20970
26,KOLTEPATIL,Kolte - Patil Developers Limited,532924,445.1,3.68,369103
27,GOCLCORP,Gocl Corporation Limited,506480,438.25,6.75,1950704
28,GUFICBIO,Gufic Biosciences Limited,509079,421.4,4.22,266330
29,STYL,Seshaasai Technologies Ltd,544533,407.75,5.0,518069
30,GEECEE,Geecee Ventures Limited,532764,368.35,2.25,8476
31,MARINE,Marine Electricals (India) Ltd,535119,336.9,4.68,3869124
32,STYLEBAAZA,Baazar Style Retail Ltd,544243,320.65,4.99,584061
33,BIRLACABLE,Birla Cable Limited,500060,254.21,2.62,618154
34,RITES,Rites Ltd,541556,234.24,1.24,1536756
35,SAPPHIRE,Sapphire Foods India Ltd,543397,224.22,12.26,18224172
36,PTC,Ptc India Limited,532524,203.3,1.56,12883295
37,EMIL,Electronics Mart India Ltd,543626,165.83,10.72,51355051
38,REDTAPE,Redtape Ltd,543957,139.97,2.27,895112
39,MUFIN,Mufin Green Finance Ltd,542774,137.19,2.33,2262111
40,WEL,Wonder Electricals Ltd,535344,129.75,7.86,1103135
41,NAHARINDUS,Nahar Industrial Enterprises Limited,519136,128.5,6.13,73322
42,VISAKAIND,Visaka Industries Limited,509055,98.72,14.27,14124593
43,RBA,Restaurant Brands Asia Ltd,543248,94.92,5.17,30111924
44,PARACABLES,Paramount Communications Limited,530555,68.92,4.35,3040476
45,IMAGICAA,Imagicaaworld Entertainment Ltd,539056,52.14,2.04,2000229
46,PVP,Pvp Ventures Limited,517556,34.74,4.83,10194426
