sr,nsecode,name,bsecode,close,per_chg,volume
1,KOVAI,Kovai Medical Center & Hospital Ltd,523323,6292.0,2.32,15697
2,KINGFA,Kingfa Science & Technology (india) Limited,524019,6227.5,1.14,56247
3,NOVARTIND,Novartis India Ltd,500672,2428.2,11.06,2292871
4,INDNIPPON,India Nippon Electricals Limited,532240,1369.0,4.24,2823252
5,YUKEN,Yuken India Ltd,522108,1085.7,1.69,120552
6,KSL,Kalyani Steels Limited,500235,968.2,6.35,661316
7,MANINDS,Man Industries (india) Limited,513269,876.45,10.59,8839846
8,MAHSEAMLES,Maharashtra Seamless Limited,500265,718.95,6.32,1256187
9,WSTCSTPAPR,West Coast Paper Mills Limited,500444,710.1,6.37,528781
10,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,707.55,6.73,773333
11,NRBBEARING,Nrb Bearing Limited,530367,515.95,6.48,1397242
12,TSFINV,Tsf Investments Ltd,535060,441.15,4.32,183455
13,BHAGYANGR,Bhagyanagar India,512296,432.2,4.99,487769
14,HERITGFOOD,Heritage Foods Limited,519552,398.05,4.72,2057299
15,VSSL,Vardhman Special Steels Limited,534392,392.0,8.06,8306199
16,VALIANTORG,Valiant Organics Ltd,540145,377.45,4.99,228476
17,SREEL,Sreeleathers Limited,535601,370.3,7.33,487582
18,EVEREADY,Eveready Industries India Limited,531508,366.2,4.81,742503
19,PARAGMILK,Parag Milk Foods Limited,539889,264.85,4.44,7361793
20,IKIO,IKIO Lighting Ltd,543923,231.73,5.36,2436372
21,KROSS,Kross Ltd,544253,231.54,5.4,8960812
22,JUNIPER,Juniper Hotels Ltd,544129,227.39,6.55,1039859
23,LOTUSDEV,Sri Lotus Developers & Realty Ltd,544469,207.88,5.0,14078555
24,NOCIL,Nocil Limited,500730,195.31,3.73,7274037
25,KANORICHEM,Kanoria Chemicals & Industries Limited,506525,175.14,5.0,100439
26,JAMNAAUTO,Jamna Auto Industries Limited,520051,131.86,2.27,3397638
27,PAISALO,Paisalo Digital Ltd,532900,83.05,3.92,21159038
28,PROZONER,Prozone Realty Ltd,534675,52.3,4.85,493674
29,SIGACHI,Sigachi Industries Ltd,543389,37.56,6.49,13529422
30,STLNETWORK,STL Networks Ltd,544395,34.86,5.0,8127111
31,GAYAPROJ,Gayatri Projects Limited,532767,24.8,4.91,2185895
