sr,nsecode,name,bsecode,close,per_chg,volume
1,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,806.1,10.0,520858
2,RAYMONDREL,Raymond Realty Ltd,544420,708.3,5.49,18194912
3,GNA,Gna Axles Limited,540124,620.45,3.99,7316206
4,CAPILLARY,Capillary Technologies India Ltd,544614,567.55,4.03,780150
5,SANATHAN,Sanathan Textiles Ltd,544314,529.25,4.52,786460
6,SUNFLAG,Sunflag Iron And Steel Company Limited,500404,396.8,1.6,1545083
7,GREAVESCOT,Greaves Cotton Limited,501455,221.83,7.68,15910393
8,GLOBAL,Global Education Ltd,538406,141.0,4.87,873103
9,BLUSPRING,Bluspring Enterprises Ltd,544414,140.56,6.01,1598336
10,TEXRAIL,Texmaco Rail & Engineering Limited,533326,126.77,1.62,7694285
11,PREMIERPOL,Premier Polyfilm Limited,514354,100.51,3.92,6670334
12,SALSTEEL,SAL Steel,532604,89.27,5.0,974201
13,TIRUPATIFL,Tirupati Forge Ltd,535021,79.87,1.95,1212481
14,LLOYDSENT,Lloyds Enterprises Ltd,512463,75.58,1.93,4465318
15,DELTACORP,Delta Corp Limited,532848,72.68,5.87,28302261
16,PROZONER,Prozone Realty Ltd,534675,54.16,3.77,667907
17,STLNETWORK,STL Networks Ltd,544395,52.01,4.65,27090526
