sr,nsecode,name,bsecode,close,per_chg,volume
1,ADOR,Ador Welding Ltd,517041,1705.2,4.26,220404
2,VENKEYS,Venky's (india) Limited,523261,1702.0,8.28,1282528
3,AXISCADES,AXISCADES Technologies Ltd,532395,1671.2,4.8,322732
4,QPOWER,Quality Power Electrical Equipments Ltd,544367,1435.8,0.32,599422
5,CYIENT,Cyient Limited,532175,1174.8,6.08,2546454
6,UNIPARTS,Uniparts India Ltd,543689,893.45,2.32,443265
7,SVLL,Shree Vasu Logistics Ltd,535084,815.55,3.89,5765
8,STEL,Stel Holdings Limited,,661.2,3.82,19646
9,APCOTEXIND,Apcotex Industries Limited,523694,646.3,3.37,460194
10,FMGOETZE,Federal-mogul Goetze (india) Limited.,505744,624.85,3.79,8525284
11,BLISSGVS,Bliss Gvs Pharma Limited,506197,616.75,4.87,746998
12,KIRIINDUS,Kiri Industries Limited,532967,530.9,7.71,3059050
13,DYCL,Dynamic Cables Ltd,540795,493.2,1.15,1249206
14,DIFFNKG,Diffusion Engineers Ltd,544264,485.5,18.13,7817913
15,HARSHA,Harsha Engineers International Ltd,543600,455.9,3.89,460199
16,MODISONLTD,Modison Ltd,506261,454.05,9.99,392989
17,SETL,Standard Enginnering Technology Ltd,544333,369.5,1.46,2536650
18,ASIANHOTNR,Asian Hotels (north) Limited,500023,366.4,15.97,1007905
19,NORTHARC,Northern ARC Capital Ltd,,311.65,9.06,25296223
20,BIRLACABLE,Birla Cable Limited,500060,309.86,5.0,370744
21,AYMSYNTEX,Aym Syntex Limited,508933,280.45,10.24,1511986
22,PARAGMILK,Parag Milk Foods Limited,539889,254.42,7.06,3067737
23,BHAGERIA,Bhageria Industries Limited,530803,250.68,5.0,147630
24,PLATIND,Platinum Industries Ltd,544134,235.3,2.05,137045
25,KOPRAN,Kopran Limited,524280,217.83,7.96,1881351
26,VINCOFE,Vintage Coffee & Beverages Ltd,538920,185.77,4.38,10994745
27,GHCLTEXTIL,GHCL Textiles Ltd,543918,134.77,3.04,1321896
28,BODALCHEM,Bodal Chemicals Limited,524370,118.89,19.99,7034891
29,ELECTCAST,Electrosteel Castings Limited,500128,83.44,2.38,5674123
30,MANALIPETC,Manali Petrochemicals Limited,500268,81.75,11.44,73402171
31,PVP,Pvp Ventures Limited,517556,68.48,5.0,6346569
32,STLNETWORK,STL Networks Ltd,544395,28.15,3.19,3890428
