sr,nsecode,name,bsecode,close,per_chg,volume
1,SMLMAH,SML Mahindra Ltd,505192,5685.6,3.77,1799714
2,YASHO,Yasho Industries Ltd,541167,3858.7,20.0,273048
3,THEJO,Thejo Engineering Ltd,500492,2108.7,10.95,75482
4,LUMAXTECH,Lumax Auto Technologies Limited,532796,1568.3,3.42,246823
5,DREDGECORP,Dredging Corporation Of India Limited,523618,1139.4,1.73,223108
6,INDIGOPNTS,Indigo Paints Ltd,543258,1114.9,3.15,103387
7,NELCO,Nelco Limited,504112,1015.65,9.24,2015863
8,63MOONS,63 Moons Technologies Ltd,526881,931.4,9.92,13988219
9,SCPL,Sheetal Cool Products Ltd,540757,615.0,11.58,550846
10,DEEPINDS,Deep Industries Ltd,543288,596.9,8.76,2246833
11,NAZARA,Nazara Technologies Ltd,543280,339.0,10.05,19465399
12,QUESS,Quess Corp Limited,539978,332.55,7.38,17361857
13,DMCC,DMCC Speciality Chemicals Ltd,506405,282.75,7.59,111833
14,KRISHANA,Krishana Phoschem Ltd,538405,182.95,1.61,6122349
15,GPTHEALTH,GPT Healthcare Ltd,544131,170.49,2.68,710930
16,UEL,Ujaas Energy Ltd,533644,153.73,20.0,218909
17,ADVANCE,Advance Agrolife Ltd,544562,125.01,4.7,624106
18,ZEEL,Zee Entertainment Enterprises Limited,505537,114.55,2.09,61736966
19,ESAFSFB,ESAF Small Finance Bank Ltd,544020,42.05,15.27,43578126
