sr,nsecode,name,bsecode,close,per_chg,volume
1,LUMAXIND,Lumax Industries Limited,517206,6422.5,3.03,64094
2,CYIENTDLM,Cyient DLM Ltd,543933,857.2,1.68,1322733
3,JINDALPOLY,Jindal Poly Films Limited,500227,694.45,9.99,142561
4,GODREJAGRO,Godrej Agrovet Ltd,540743,654.4,6.35,10860764
5,EBGNG,GNG Electronics Ltd,544455,650.5,6.2,1922207
6,AEROFLEX,Aeroflex Industries Ltd,543972,552.05,5.07,2920944
7,DYCL,Dynamic Cables Ltd,540795,542.4,9.98,10973790
8,MODISONLTD,Modison Ltd,506261,499.45,10.0,766487
9,MARINE,Marine Electricals (India) Ltd,535119,432.6,7.92,3913786
10,TBZ,Tribhovandas Bhimji Zaveri Limited,534369,366.8,19.99,14134183
11,SSWL,Steel Strips Wheels Limited,513262,357.25,16.88,28271167
12,SHIVALIK,Shivalik Rasayan Ltd,539148,338.05,4.92,55819
13,MENONBE,Menon Bearings Limited,523828,301.4,5.01,175931
14,EMKAY,Emkay Global Financial Services Limited,532737,264.1,2.69,87226
15,BHAGERIA,Bhageria Industries Limited,530803,263.2,4.99,88629
16,GANDHAR,Gandhar Oil Refinery (India) Ltd,544029,261.8,1.58,2578536
17,PARAGMILK,Parag Milk Foods Limited,539889,259.1,1.84,2360487
18,RBZJEWEL,RBZ Jewellers Ltd,544060,169.0,12.08,5612930
19,HINDOILEXP,Hindustan Oil Exploration Company Limited,500186,169.0,4.28,2830998
20,GHCLTEXTIL,GHCL Textiles Ltd,543918,140.45,4.21,2290225
21,TNPETRO,Tamilnadu Petroproducts Limited,500777,132.35,9.59,14332261
22,BODALCHEM,Bodal Chemicals Limited,524370,126.76,6.62,10764398
23,MANINFRA,Man Infraconstruction Limited,533169,124.56,1.58,8700614
24,MANAKSTEEL,Manaksia Steels Limited,539044,104.1,4.6,1384941
25,JINDWORLD,Jindal Worldwide Limited,531543,42.08,9.84,120393999
