sr,nsecode,name,bsecode,close,per_chg,volume
1,TVSSRICHAK,Tvs Srichakra Limited,509243,4838.1,8.04,115934
2,EIMCOELECO,Eimco Elecon (india) Limited,523708,2189.1,9.15,57240
3,MANORAMA,Manorama Industries Ltd,541974,1930.1,11.11,2030026
4,KRN,KRN Heat Exchanger and Refrigeration Ltd,544263,1541.7,5.0,480964
5,RISHABH,Rishabh Instruments Ltd,543977,695.8,7.27,350526
6,BALUFORGE,Balu Forge Industries Ltd,531112,514.0,4.1,1659159
7,MAXESTATES,Max Estates Ltd,544008,473.0,7.03,270764
8,PURVA,Puravankara Projects Limited,532891,226.89,3.98,7469625
