sr,nsecode,name,bsecode,close,per_chg,volume
1,SMLMAH,SML Mahindra Ltd,505192,5479.2,20.0,1495355
2,GRPLTD,Grp Limited,509152,2094.0,6.04,7159
3,DREDGECORP,Dredging Corporation Of India Limited,523618,1120.0,1.6,218510
4,MAHASTEEL,Mahamaya Steel Industries Limited,513554,966.25,6.69,28019
5,63MOONS,63 Moons Technologies Ltd,526881,847.35,8.85,9665398
6,RPTECH,Rashi Peripherals Ltd,,813.0,5.1,1871544
7,PRICOLLTD,Pricol Ltd.,540293,681.05,3.1,1870144
8,ATULAUTO,Atul Auto Limited,531795,516.0,4.2,1166460
9,GOKULAGRO,Gokul Agro Resources Limited,539725,225.15,0.87,3418850
10,SAMHI,Samhi Hotels Ltd,543984,186.07,2.39,1587408
11,KRISHANA,Krishana Phoschem Ltd,538405,180.05,9.42,4816424
12,GAEL,Gujarat Ambuja Exports Limited,524226,172.59,5.04,4585696
13,SHK,S H Kelkar And Company Limited,539450,170.01,4.02,4051191
14,SICALLOG,Sical Logistics Ltd,520086,117.07,5.0,101791
15,INDORAMA,Indo Rama Synthetics (india) Limited,500207,55.02,3.34,1550882
