sr,nsecode,name,bsecode,close,per_chg,volume
1,SPECTRUM,Spectrum Electrical Industries Ltd,535112,2611.1,5.0,12874
2,WHEELS,Wheels India Limited,590073,2106.4,20.0,3912924
3,VENUSPIPES,Venus Pipes & Tubes Ltd,543528,1949.9,8.0,1040708
4,AXISCADES,AXISCADES Technologies Ltd,532395,1848.6,3.97,309618
5,NOVARTIND,Novartis India Ltd,500672,1822.0,11.12,551700
6,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1629.6,8.95,939028
7,GMMPFAUDLR,GMM Pfaudler Ltd,505255,1285.2,4.01,1155005
8,ROSSTECH,Rossell Techsys Ltd,544294,1218.0,6.08,407001
9,SAKAR,Sakar Healthcare Ltd,538377,1157.85,4.39,580120
10,ANTELOPUS,Antelopus Selan Energy Ltd,530075,1099.15,11.55,9401224
11,CYIENTDLM,Cyient DLM Ltd,543933,976.25,12.82,3128714
12,RAYMOND,Raymond Limited,500330,857.8,11.06,13357784
13,DEEPINDS,Deep Industries Ltd,543288,818.7,4.27,946974
14,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,656.45,3.46,524936
15,NITINSPIN,Nitin Spinners Limited,532698,655.1,4.41,527875
16,NRAIL,N R Agarwal Industries Ltd,516082,644.35,9.22,144623
17,ASIANENE,Asian Energy Services Ltd,530355,553.55,8.16,1715686
18,UNIVPHOTO,Universus Photo Imagings Ltd,542933,540.6,4.99,5091
19,MMP,MMP Industries Ltd,535071,478.5,7.54,482392
20,MIDHANI,Mishra Dhatu Nigam Ltd,541195,477.0,13.6,36384306
21,GUJTHEM,Gujarat Themis Biosyn Ltd,506879,453.25,5.58,1824251
22,ASIANHOTNR,Asian Hotels (north) Limited,500023,405.75,6.04,142759
23,BHAGERIA,Bhageria Industries Limited,530803,335.8,4.99,263098
24,CONSOFINVT,Consolidated Finvest & Holdings Limited,500226,317.45,4.87,88010
25,JAYAGROGN,Jayant Agro Organics Limited,524330,249.04,9.07,266571
26,DCBBANK,Dcb Bank Limited,532772,229.55,3.72,6352270
27,CHEMCON,Chemcon Speciality Chemicals Ltd,543233,209.53,5.0,88574
28,NOCIL,Nocil Limited,500730,185.07,7.46,6480440
29,LXCHEM,Laxmi Organic Industries Ltd,543277,184.52,7.29,3239876
30,PENIND,Pennar Industries Limited,513228,180.62,2.65,1266398
31,BEPL,Bhansali Engineering Polymers Limited,500052,133.84,5.52,5773995
32,GANESHBE,Ganesh Benzoplast Ltd,500153,129.6,0.16,594797
33,GLOBAL,Global Education Ltd,538406,126.62,5.38,385486
34,ANUHPHR,Anuh Pharma Ltd,506260,95.53,5.8,1749719
35,FCL,Fineotex Chemical Limited,533333,58.44,3.14,51043359
36,STLNETWORK,STL Networks Ltd,544395,31.62,4.32,6414014
37,GAYAPROJ,Gayatri Projects Limited,532767,23.26,4.87,2694235
