sr,nsecode,name,bsecode,close,per_chg,volume
1,ENTERO,Entero Healthcare Solutions Ltd,544122,1633.0,6.75,2519389
2,EPIGRAL,Epigral Ltd,543332,1240.9,3.18,227581
3,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1202.0,2.24,38185
4,PITTIENG,Pitti Engineering Ltd,513519,1123.3,2.28,584067
5,CYIENT,Cyient Limited,532175,979.05,7.7,5692543
6,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,923.05,1.71,1180205
7,CYIENTDLM,Cyient DLM Ltd,543933,769.35,4.55,1123660
8,APOLLOPIPE,Apollo Pipes Ltd,531761,663.75,8.95,2852802
9,WELENT,Welspun Enterprises Limited,532553,661.0,2.02,1128974
10,NITINSPIN,Nitin Spinners Limited,532698,623.65,7.5,787696
11,GODREJAGRO,Godrej Agrovet Ltd,540743,610.1,6.52,3703126
12,SHANTIGEAR,Shanthi Gears Limited,522034,557.9,1.62,2297181
13,FMGOETZE,Federal-mogul Goetze (india) Limited.,505744,534.1,10.5,22301628
14,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,539334,454.1,6.37,530431
15,CLSEL,Chamanlal Setia Exports Ltd,530307,322.0,2.96,923054
16,PARAGMILK,Parag Milk Foods Limited,539889,250.0,3.9,3806609
17,BHAGERIA,Bhageria Industries Limited,530803,225.0,0.75,203051
18,DCBBANK,Dcb Bank Limited,532772,207.37,3.82,8949955
19,GIPCL,Gujarat Industries Power Company Limited,517300,190.72,6.91,4136580
20,BEPL,Bhansali Engineering Polymers Limited,500052,129.62,3.48,5825644
21,VALIANTLAB,Valiant Laboratories Ltd,,105.54,4.99,1042295
22,NIITLTD,Niit Limited,500304,102.68,3.61,1783845
23,ALEMBICLTD,Alembic Limited,506235,94.66,3.3,2297975
24,BODALCHEM,Bodal Chemicals Limited,524370,87.05,4.99,1544129
25,HMT,Hmt Limited,500191,64.01,4.99,64021
26,PVP,Pvp Ventures Limited,517556,51.35,5.68,8889184
27,SIGACHI,Sigachi Industries Ltd,543389,33.9,11.18,20579996
