sr,nsecode,name,bsecode,close,per_chg,volume
1,VOLTAMP,Voltamp Transformers Limited,532757,10869.5,5.39,142254
2,KENNAMET,Kennametal India Ltd,505890,4044.7,8.74,232712
3,ALKYLAMINE,Alkyl Amines Chemicals Limited,506767,2052.7,6.7,536773
4,RPEL,Raghav Productivity Enhancers Ltd,539837,1694.0,4.91,157280
5,WHEELS,Wheels India Limited,590073,1508.0,1.63,143179
6,SUDARSCHEM,Sudarshan Chemical Industries Limited,506655,1215.1,2.41,860330
7,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1150.1,0.46,35039
8,MANGLMCEM,Mangalam Cement Limited,502157,1036.65,5.58,924191
9,VMART,V-mart Retail Limited,534976,838.85,3.99,675437
10,AVADHSUGAR,Avadh Sugar & Energy,540649,834.8,2.47,1612806
11,AGI,AGI Greenpac Ltd,500187,753.6,5.89,755352
12,MANINDS,Man Industries (india) Limited,513269,715.4,5.69,3086389
13,MAHSEAMLES,Maharashtra Seamless Limited,500265,634.15,3.86,1079974
14,WELENT,Welspun Enterprises Limited,532553,631.45,8.0,6037083
15,STEL,Stel Holdings Limited,,611.05,4.57,21074
16,BALUFORGE,Balu Forge Industries Ltd,531112,555.4,1.58,2747297
17,AEROFLEX,Aeroflex Industries Ltd,543972,503.0,5.83,3935788
18,HAPPSTMNDS,Happiest Minds Technologies Ltd,543227,444.55,7.3,8941977
19,QUADFUTURE,Quadrant Future Tek Ltd,544336,405.35,20.0,8270946
20,KRONOX,Kronox Lab Sciences Ltd,544187,215.18,15.57,26557532
21,KAMATHOTEL,Kamat Hotels (i) Limited,526668,209.7,9.89,270722
22,AMANTA,Amanta Healthcare Ltd,544502,195.83,5.0,266729
23,FEDFINA,Fedbank Financial Services Ltd,544027,156.84,1.82,1826066
24,MAWANASUG,Mawana Sugars Limited,523371,152.54,8.88,3154128
25,AEROENTER,Aeroflex Enterprises Ltd,511076,140.07,7.21,3253853
26,BLUSPRING,Bluspring Enterprises Ltd,544414,129.75,9.99,3053828
27,ZIMLAB,Zim Laboratories Ltd,541400,125.0,3.31,184762
28,JAYNECOIND,Jayaswal Neco Industries Limited,522285,99.89,6.63,23781096
29,ALEMBICLTD,Alembic Limited,506235,92.73,1.2,764583
30,TPLPLASTEH,Tpl Plastech Limited,526582,82.6,5.48,424054
31,BODALCHEM,Bodal Chemicals Limited,524370,78.97,4.83,1022740
32,FCL,Fineotex Chemical Limited,533333,47.43,8.91,36280991
33,PVP,Pvp Ventures Limited,517556,45.35,5.1,10952678
