sr,nsecode,name,bsecode,close,per_chg,volume
1,YASHO,Yasho Industries Ltd,541167,4359.9,12.23,370565
2,KDDL,Kddl Limited,532054,3652.8,5.47,158177
3,VENKEYS,Venky's (india) Limited,523261,1595.2,1.93,110945
4,BOSCH-HCIL,Bosch Home Comfort India Ltd,523398,1439.4,3.54,103983
5,UNIMECH,Unimech Aerospace and Manufacturing Ltd,544322,1334.1,5.9,1228868
6,GULFOILLUB,Gulf Oil Lubricants India Limited,538567,1160.3,4.05,887256
7,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1074.9,4.65,77910
8,EXCELINDUS,Excel Industries Limited,500650,1054.3,3.19,20096
9,GANDHITUBE,Gandhi Special Tubes Limited,513108,900.3,2.17,24369
10,BIL,Bhartiya International Limited,526666,805.0,5.8,36598
11,AVADHSUGAR,Avadh Sugar & Energy,540649,615.05,10.09,4835388
12,MAGADSUGAR,Magadh Sugar & Energy Ltd,540650,548.75,2.58,418222
13,SAREGAMA,Saregama India Limited,532163,542.55,5.51,6169224
14,IGPL,Ig Petrochemicals Limited,500199,500.1,0.69,79372
15,TI,Tilaknagar Industries Limited,507205,491.15,5.44,2389271
16,MANYAVAR,Vedant Fashions Ltd,543463,485.9,16.04,30164506
17,DIFFNKG,Diffusion Engineers Ltd,544264,423.7,4.33,378227
18,STEELCAS,Steelcast Ltd,513517,340.0,4.33,488377
19,NAHARSPING,Nahar Spinning Mills Limited,500296,323.7,4.03,172477
20,RITCO,Ritco Logistics Ltd,542383,310.6,3.1,429683
21,MARINE,Marine Electricals (India) Ltd,535119,300.6,4.47,3136932
22,VALIANTORG,Valiant Organics Ltd,540145,291.0,3.93,29698
23,VRLLOG,Vrl Logistics Limited,539118,280.25,3.0,4798396
24,PRINCEPIPE,Prince Pipes & Fittings Ltd,542907,276.1,4.82,1549636
25,IRMENERGY,IRM Energy Ltd,,272.6,2.87,183306
26,RSWM,Rswm Limited,500350,235.95,4.98,294855
27,UEL,Ujaas Energy Ltd,533644,202.91,10.0,124594
28,CHEMCON,Chemcon Speciality Chemicals Ltd,543233,193.29,5.0,26609
29,PTC,Ptc India Limited,532524,183.44,1.85,2170562
30,OCCLLTD,OCCL Ltd,544278,179.0,2.68,615091
31,DHAMPURSUG,Dhampur Sugar Mills Limited,500119,151.38,5.24,1737158
32,JAMNAAUTO,Jamna Auto Industries Limited,520051,142.27,1.0,3866505
33,AEROENTER,Aeroflex Enterprises Ltd,511076,132.67,7.6,1605803
34,HMVL,Hindustan Media Ventures Limited,533217,104.45,9.85,1046660
35,REGAAL,Regaal Resources Ltd,544485,90.0,4.69,352890
36,RBA,Restaurant Brands Asia Ltd,543248,84.91,20.0,114839192
37,SHALPAINTS,Shalimar Paints Limited,509874,82.54,3.16,10074498
38,MOREPENLAB,Morepen Laboratories Limited,500288,69.18,20.0,67096371
39,3IINFOLTD,3i Infotech Ltd,532628,25.12,2.99,2395257
40,BESTAGRO,Best Agrolife Ltd,539660,22.66,19.96,29742912
