sr,nsecode,name,bsecode,close,per_chg,volume
1,KOVAI,Kovai Medical Center & Hospital Ltd,523323,6162.0,5.45,15049
2,KINGFA,Kingfa Science & Technology (india) Limited,524019,5620.0,1.27,17758
3,PIXTRANS,Pix Transmission Ltd,500333,1986.5,15.68,1309397
4,MACPOWER,Macpower CNC Machines Ltd,535057,1824.3,8.52,138274
5,UNIVCABLES,Universal Cables Limited,504212,1693.4,20.0,1907323
6,VEEDOL,Veedol Corporation Ltd,590005,1524.6,1.82,43671
7,ENTERO,Entero Healthcare Solutions Ltd,544122,1315.1,5.83,1413561
8,POLYPLEX,Polyplex Corporation Limited,524051,1179.7,5.72,269422
9,SBCL,Shivalik Bimetal Controls Ltd,513097,1105.05,20.0,10977326
10,DIVGIITTS,Divgi Torqtransfer Systems Ltd,543812,1060.0,1.22,123875
11,YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,543950,898.75,3.25,1064212
12,AARTIPHARM,Aarti Pharmalabs Ltd,543748,823.0,20.0,3125635
13,SKYGOLD,Sky Gold Ltd,541967,779.6,8.37,8041846
14,AKUMS,Akums Drugs & Pharmaceuticals Ltd,544222,730.1,4.68,2185132
15,HCG,Healthcare Global Enterprises Limited,539787,715.65,5.89,515232
16,SWELECTES,Swelect Energy Systems Limited,532051,691.25,3.08,86039
17,MMFL,Mm Forgings Limited,522241,658.25,4.63,308671
18,JGCHEM,J.G.Chemicals Ltd,,622.2,12.55,10811484
19,KAPSTON,Kapston Services Ltd,535064,566.05,7.63,195599
20,SANGHVIMOV,Sanghvi Movers Limited,530073,511.4,4.71,1897196
21,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,510.75,13.85,2087592
22,PANACHE,Panache Digilife Ltd,538424,481.45,4.99,17355
23,NRBBEARING,Nrb Bearing Limited,530367,478.25,3.63,2221157
24,KOLTEPATIL,Kolte - Patil Developers Limited,532924,462.2,3.84,479814
25,GUFICBIO,Gufic Biosciences Limited,509079,433.0,2.75,168401
26,MARINE,Marine Electricals (India) Ltd,535119,355.15,5.42,1868563
27,MMP,MMP Industries Ltd,535071,343.65,5.33,323912
28,STYLEBAAZA,Baazar Style Retail Ltd,544243,336.65,4.99,660449
29,EUROPRATIK,Euro Pratik Sales Ltd,544519,323.15,2.88,340729
30,DMCC,DMCC Speciality Chemicals Ltd,506405,313.1,12.77,1241573
31,PRIMESECU,Prime Securities Limited,500337,304.0,2.69,78747
32,VALIANTORG,Valiant Organics Ltd,540145,297.75,3.21,46608
33,DVL,Dhunseri Ventures Ltd,523736,283.06,5.6,433393
34,DHARMAJ,Dharmaj Crop Guard Ltd,543687,281.05,5.84,235982
35,COMSYN,Commercial Syn Bags Ltd,539986,269.03,19.66,7601735
36,BIRLACABLE,Birla Cable Limited,500060,266.92,5.0,288266
37,GARUDA,Garuda Construction and Engineering Ltd,544271,194.51,7.76,12216329
38,INDIQUBE,Indiqube Spaces Ltd,544454,186.0,1.86,280720
39,EMIL,Electronics Mart India Ltd,543626,180.77,9.01,101219512
40,DHAMPURSUG,Dhampur Sugar Mills Limited,500119,159.43,5.66,1387689
41,SPECIALITY,Speciality Restaurants Limited,534425,151.0,4.02,218468
42,KNRCON,Knr Constructions Limited,532942,142.69,1.93,2068722
43,WEL,Wonder Electricals Ltd,535344,134.78,3.92,15463437
44,NAHARINDUS,Nahar Industrial Enterprises Limited,519136,130.0,1.79,147014
45,VISAKAIND,Visaka Industries Limited,509055,103.52,4.86,4940371
46,ANDHRSUGAR,The Andhra Sugars Limited,590062,99.98,13.64,17423821
47,PASUPTAC,Pasupati Acrylon Ltd,500456,65.3,4.68,246857
48,IRISDOREME,Iris Clothings Ltd,535123,56.19,3.06,7435585
49,UGARSUGAR,The Ugar Sugar Works Limited,530363,46.49,3.31,897551
50,TREL,TransIndia Real Estate Ltd,543955,27.83,9.57,860569
51,3IINFOLTD,3i Infotech Ltd,532628,27.13,5.2,3329011
52,CENTRUM,Centrum Capital Ltd,501150,26.6,5.85,1154593
