sr,nsecode,name,bsecode,close,per_chg,volume
1,LUMAXIND,Lumax Industries Limited,517206,5772.5,9.23,106937
2,YASHO,Yasho Industries Ltd,541167,3884.8,0.68,438114
3,KDDL,Kddl Limited,532054,3463.2,4.88,54531
4,ETHOSLTD,Ethos Ltd,543532,2962.7,15.04,1592339
5,SJS,S J S Enterprises Ltd,543387,2483.4,3.83,156038
6,VINDHYATEL,Vindhya Telelinks Limited,517015,2383.0,20.0,605417
7,THEJO,Thejo Engineering Ltd,500492,2175.0,3.14,21034
8,RANEHOLDIN,Rane Holdings Limited,505800,1872.6,7.1,79892
9,LUMAXTECH,Lumax Auto Technologies Limited,532796,1625.7,3.66,309091
10,IMFA,Indian Metals & Ferro Alloys Limited,533047,1492.0,3.0,229842
11,UNIVCABLES,Universal Cables Limited,504212,1431.8,5.4,252946
12,GULFOILLUB,Gulf Oil Lubricants India Limited,538567,1115.1,4.28,143341
13,ROSSTECH,Rossell Techsys Ltd,544294,1067.1,11.84,1333256
14,MAHASTEEL,Mahamaya Steel Industries Limited,513554,1018.9,1.76,29414
15,RPTECH,Rashi Peripherals Ltd,,883.65,6.01,1212673
16,PRICOLLTD,Pricol Ltd.,540293,732.85,5.2,1638587
17,DEEPINDS,Deep Industries Ltd,543288,649.3,8.78,3599984
18,ASKAUTOLTD,ASK Automotive Ltd,544022,569.65,7.88,1082733
19,ATULAUTO,Atul Auto Limited,531795,563.35,9.29,1998509
20,MAGADSUGAR,Magadh Sugar & Energy Ltd,540650,534.95,6.9,104201
21,KAPSTON,Kapston Services Ltd,535064,525.9,10.74,302591
22,IGPL,Ig Petrochemicals Limited,500199,494.0,4.83,185122
23,KABRAEXTRU,Kabra Extrusion Technik Limited,524109,418.6,5.99,873684
24,DALMIASUG,Dalmia Bharat Sugar And Industries Limited,500097,411.85,17.37,10294962
25,ASIANENE,Asian Energy Services Ltd,530355,410.65,3.04,835789
26,CREST,Crest Ventures Limited,511413,393.95,4.72,15908
27,SONATSOFTW,Sonata Software Limited,532221,345.85,7.26,6563036
28,DCI,DC Infotech & Communication Ltd,535351,338.0,2.52,155608
29,NAHARSPING,Nahar Spinning Mills Limited,500296,311.15,10.69,176677
30,VRLLOG,Vrl Logistics Limited,539118,272.1,2.43,842050
31,SPORTKING,Sportking India Ltd,539221,229.63,14.1,12667361
32,RSWM,Rswm Limited,500350,224.5,4.63,183173
33,UEL,Ujaas Energy Ltd,533644,184.47,20.0,211631
34,GAEL,Gujarat Ambuja Exports Limited,524226,180.68,4.98,8639340
35,KOTHARIPET,Kothari Petrochemicals Limited,532096,147.14,5.21,369243
36,MUNJALSHOW,Munjal Showa Limited,520043,143.47,4.46,653918
37,JAMNAAUTO,Jamna Auto Industries Limited,520051,140.86,7.38,6125287
38,REGAAL,Regaal Resources Ltd,544485,85.97,5.0,230105
39,CONFIPET,Confidence Petroleum India Ltd,526829,83.77,5.16,5301300
40,SHALPAINTS,Shalimar Paints Limited,509874,80.01,19.99,4518150
41,INDORAMA,Indo Rama Synthetics (india) Limited,500207,63.5,12.89,2539592
42,JINDWORLD,Jindal Worldwide Limited,531543,40.41,5.4,123961186
